Date,Price,Open,High,Low
15/12/2020,90.69,90.66,90.73,90.61
14/12/2020,90.71,90.98,90.98,90.42
13/12/2020,90.78,90.98,90.98,90.74
11/12/2020,90.98,90.74,91.04,90.62
10/12/2020,90.82,91.06,91.15,90.67
09/12/2020,91.09,90.92,91.20,90.69
08/12/2020,90.96,90.90,91.02,90.75
07/12/2020,90.79,90.81,91.24,90.62
04/12/2020,90.70,90.71,90.87,90.48
03/12/2020,90.71,91.06,91.09,90.51
02/12/2020,91.12,91.19,91.50,90.99
01/12/2020,91.31,91.94,91.94,91.16
30/11/2020,91.87,91.78,92.05,91.51
27/11/2020,91.79,92.02,92.05,91.76
26/11/2020,91.99,91.95,92.17,91.85
25/11/2020,91.99,92.11,92.26,91.93
24/11/2020,92.23,92.53,92.56,92.13
23/11/2020,92.50,92.40,92.80,92.02
20/11/2020,92.39,92.34,92.43,92.21
19/11/2020,92.29,92.56,92.72,92.24
18/11/2020,92.32,92.44,92.51,92.21
17/11/2020,92.42,92.49,92.61,92.27
16/11/2020,92.64,92.72,92.84,92.46
13/11/2020,92.75,92.95,93.00,92.71
12/11/2020,92.96,93.01,93.14,92.78
11/11/2020,93.04,92.70,93.21,92.61
10/11/2020,92.75,92.76,92.97,92.60
09/11/2020,92.72,92.24,92.96,92.13
06/11/2020,92.23,92.57,92.82,92.18
05/11/2020,92.53,93.34,93.54,92.49
04/11/2020,93.41,93.09,94.30,93.09
03/11/2020,93.55,94.05,94.05,93.29
02/11/2020,94.13,93.89,94.29,93.89
30/10/2020,94.04,93.92,94.08,93.65
29/10/2020,93.96,93.46,94.10,93.33
28/10/2020,93.40,93.15,93.64,93.05
27/10/2020,92.94,93.07,93.13,92.79
26/10/2020,93.04,92.76,93.11,92.74
23/10/2020,92.77,92.93,93.13,92.66
22/10/2020,92.95,92.67,92.97,92.61
21/10/2020,92.61,93.05,93.07,92.47
20/10/2020,93.07,93.42,93.50,93.00
19/10/2020,93.43,93.72,93.77,93.21
16/10/2020,93.68,93.80,93.88,93.53
15/10/2020,93.86,93.43,93.90,93.37
14/10/2020,93.38,93.54,93.67,93.25
13/10/2020,93.53,93.03,93.60,93.03
12/10/2020,93.07,93.06,93.24,93.01
09/10/2020,93.06,93.56,93.59,93.00
08/10/2020,93.61,93.61,93.78,93.50
07/10/2020,93.63,93.83,93.90,93.56
06/10/2020,93.69,93.43,93.85,93.33
05/10/2020,93.51,93.81,93.87,93.37
02/10/2020,93.84,93.73,94.03,93.69
01/10/2020,93.71,93.80,93.92,93.53
30/09/2020,93.89,93.85,94.19,93.67
29/09/2020,93.89,94.24,94.30,93.82
28/09/2020,94.28,94.58,94.64,94.15
25/09/2020,94.64,94.32,94.74,94.19
24/09/2020,94.35,94.38,94.59,94.20
23/09/2020,94.39,93.99,94.43,93.93
22/09/2020,93.99,93.55,94.08,93.46
21/09/2020,93.66,93.00,93.78,92.75
18/09/2020,92.93,92.86,93.01,92.77
17/09/2020,92.97,93.15,93.59,92.87
16/09/2020,93.21,93.08,93.28,92.78
15/09/2020,93.05,93.06,93.14,92.79
14/09/2020,93.05,93.29,93.33,92.87
11/09/2020,93.33,93.33,93.38,93.10
10/09/2020,93.34,93.23,93.45,92.70
09/09/2020,93.25,93.58,93.66,93.14
08/09/2020,93.44,93.05,93.52,93.00
07/09/2020,92.72,92.97,93.09,92.72
04/09/2020,92.72,92.80,93.24,92.66
03/09/2020,92.74,92.66,93.07,92.65
02/09/2020,92.85,92.28,92.87,92.21
01/09/2020,92.34,92.18,92.40,91.75
31/08/2020,92.14,92.30,92.48,91.99
28/08/2020,92.37,93.02,93.10,92.20
27/08/2020,93.00,92.85,93.32,92.42
26/08/2020,93.01,93.02,93.36,92.85
25/08/2020,93.02,93.28,93.35,92.97
24/08/2020,93.30,93.20,93.34,92.84
21/08/2020,93.25,92.72,93.47,92.57
20/08/2020,92.79,92.96,93.24,92.73
19/08/2020,92.89,92.28,93.05,92.15
18/08/2020,92.27,92.82,92.82,92.13
17/08/2020,92.85,93.10,93.12,92.77
14/08/2020,93.10,93.22,93.41,93.01
13/08/2020,93.33,93.36,93.39,92.93
12/08/2020,93.44,93.68,93.90,93.27
11/08/2020,93.63,93.60,93.74,93.17
10/08/2020,93.58,93.39,93.69,93.30
07/08/2020,93.43,92.81,93.62,92.76
06/08/2020,92.79,92.77,93.09,92.52
05/08/2020,92.87,93.23,93.25,92.56
04/08/2020,93.38,93.56,93.83,93.23
03/08/2020,93.54,93.46,93.99,93.32
31/07/2020,93.35,92.82,93.54,92.55
30/07/2020,93.02,93.32,93.68,92.93
29/07/2020,93.45,93.75,93.80,93.18
28/07/2020,93.70,93.58,94.01,93.49
27/07/2020,93.67,94.35,94.42,93.48
24/07/2020,94.43,94.77,94.83,94.33
23/07/2020,94.69,94.98,95.18,94.59
22/07/2020,94.99,95.13,95.41,94.83
21/07/2020,95.12,95.75,95.92,95.05
20/07/2020,95.83,96.01,96.18,95.73
17/07/2020,95.94,96.28,96.33,95.90
16/07/2020,96.35,96.00,96.40,95.89
15/07/2020,96.08,96.17,96.25,95.78
14/07/2020,96.26,96.54,96.70,96.18
13/07/2020,96.46,96.66,96.68,96.27
10/07/2020,96.65,96.75,96.97,96.44
09/07/2020,96.70,96.45,96.81,96.24
08/07/2020,96.43,96.99,97.05,96.40
07/07/2020,96.88,96.75,97.15,96.60
06/07/2020,96.72,97.15,97.19,96.57
03/07/2020,97.17,97.21,97.36,97.12
02/07/2020,97.32,97.14,97.34,96.81
01/07/2020,97.20,97.39,97.62,97.03
30/06/2020,97.39,97.40,97.80,97.23
29/06/2020,97.54,97.50,97.65,97.11
26/06/2020,97.43,97.35,97.68,97.26
25/06/2020,97.43,97.24,97.60,97.16
24/06/2020,97.15,96.66,97.24,96.55
23/06/2020,96.65,96.93,97.25,96.39
22/06/2020,97.04,97.66,97.74,97.00
19/06/2020,97.62,97.42,97.72,97.16
18/06/2020,97.42,97.08,97.58,96.95
17/06/2020,97.16,97.01,97.34,96.80
