Date,Price,Open,High,Low
04/12/2020,22.74,22.53,22.76,22.53
03/12/2020,22.72,22.75,22.98,22.71
02/12/2020,22.75,22.57,22.83,22.57
01/12/2020,22.50,22.30,22.58,22.25
30/11/2020,21.76,21.93,21.97,21.74
27/11/2020,22.68,22.62,22.86,22.62
25/11/2020,22.31,22.27,22.34,22.09
24/11/2020,22.46,22.27,22.49,22.11
23/11/2020,21.96,22.10,22.17,21.89
20/11/2020,21.58,21.72,21.75,21.58
19/11/2020,21.72,21.66,21.75,21.62
18/11/2020,21.67,21.85,21.90,21.65
17/11/2020,21.82,21.72,21.98,21.67
16/11/2020,21.59,21.70,21.88,21.52
13/11/2020,21.36,21.22,21.39,21.20
12/11/2020,21.10,21.36,21.49,21.03
11/11/2020,21.62,21.63,21.67,21.47
10/11/2020,21.74,21.37,21.81,21.37
09/11/2020,21.19,21.35,21.56,21.12
06/11/2020,20.44,20.44,20.52,20.27
05/11/2020,20.32,20.01,20.39,19.93
04/11/2020,19.39,19.05,19.47,19.01
03/11/2020,19.07,18.98,19.18,18.97
02/11/2020,18.70,18.66,18.72,18.52
30/10/2020,18.28,18.21,18.28,18.11
29/10/2020,18.28,18.24,18.35,18.14
28/10/2020,18.27,18.46,18.47,18.21
27/10/2020,18.79,18.90,18.90,18.69
26/10/2020,18.84,18.80,18.91,18.70
23/10/2020,18.90,18.67,18.90,18.67
22/10/2020,18.70,18.75,18.75,18.61
21/10/2020,18.85,18.53,18.88,18.53
20/10/2020,18.45,18.49,18.57,18.38
19/10/2020,18.42,18.54,18.66,18.40
16/10/2020,18.36,18.40,18.47,18.35
15/10/2020,18.34,18.35,18.40,18.25
14/10/2020,18.57,18.62,18.72,18.55
13/10/2020,18.35,18.39,18.44,18.26
12/10/2020,18.37,18.35,18.46,18.32
11/10/2020,18.36,18.36,18.36,18.36
09/10/2020,18.36,18.27,18.40,18.18
08/10/2020,18.21,18.14,18.25,18.13
07/10/2020,18.06,18.03,18.11,18.00
06/10/2020,17.99,17.91,18.17,17.91
05/10/2020,17.89,17.79,17.96,17.79
04/10/2020,17.41,17.41,17.41,17.41
03/10/2020,17.41,17.41,17.41,17.41
02/10/2020,17.41,17.28,17.54,17.28
01/10/2020,17.70,17.60,17.74,17.52
30/09/2020,17.27,17.22,17.41,17.22
29/09/2020,17.28,17.23,17.33,17.17
28/09/2020,17.37,17.42,17.42,17.31
27/09/2020,17.42,17.42,17.42,17.42
26/09/2020,17.42,17.42,17.42,17.42
25/09/2020,17.42,17.20,17.42,17.19
24/09/2020,16.97,16.90,17.01,16.78
23/09/2020,17.07,17.29,17.31,17.03
22/09/2020,17.48,17.57,17.57,17.30
21/09/2020,17.71,17.67,17.71,17.42
18/09/2020,18.06,18.19,18.19,18.01
17/09/2020,18.15,18.00,18.15,17.96
16/09/2020,18.16,18.25,18.33,18.12
15/09/2020,18.45,18.63,18.63,18.39
14/09/2020,18.51,18.64,18.64,18.50
13/09/2020,17.81,17.81,17.81,17.81
11/09/2020,17.81,18.00,18.00,17.75
10/09/2020,17.38,17.66,17.88,17.36
09/09/2020,18.97,19.00,19.04,18.91
08/09/2020,19.17,19.11,19.36,19.01
04/09/2020,19.38,19.32,19.52,19.11
03/09/2020,19.31,19.38,19.48,19.08
02/09/2020,19.61,19.60,19.64,19.37
01/09/2020,19.58,19.66,19.73,19.53
31/08/2020,19.61,19.63,19.64,19.39
30/08/2020,20.24,20.24,20.24,20.24
28/08/2020,20.24,20.19,20.26,20.13
27/08/2020,19.90,20.17,20.17,19.82
26/08/2020,20.24,20.13,20.28,20.08
25/08/2020,20.24,20.16,20.27,20.15
24/08/2020,19.75,19.87,19.88,19.73
23/08/2020,19.49,19.49,19.49,19.49
22/08/2020,19.49,19.49,19.49,19.49
21/08/2020,19.49,19.52,19.55,19.41
20/08/2020,19.57,19.30,19.57,19.25
19/08/2020,19.57,19.77,19.80,19.53
18/08/2020,19.74,19.70,19.77,19.57
17/08/2020,19.62,19.45,19.69,19.45
14/08/2020,19.43,19.33,19.50,19.29
13/08/2020,19.34,19.32,19.44,19.32
12/08/2020,19.38,19.27,19.50,19.27
11/08/2020,18.96,19.28,19.30,18.95
10/08/2020,19.07,18.81,19.08,18.81
09/08/2020,18.81,18.81,18.81,18.81
08/08/2020,18.81,18.81,18.81,18.81
07/08/2020,18.81,18.84,18.93,18.74
06/08/2020,19.22,19.05,19.26,19.04
05/08/2020,19.10,18.95,19.20,18.94
04/08/2020,18.68,18.22,18.68,18.22
03/08/2020,18.22,18.27,18.27,18.16
02/08/2020,18.74,18.74,18.74,18.74
31/07/2020,18.74,18.77,18.82,18.52
30/07/2020,18.82,18.95,18.96,18.70
29/07/2020,18.95,18.99,19.05,18.89
28/07/2020,18.98,19.28,19.28,18.98
27/07/2020,19.28,19.15,19.33,19.15
26/07/2020,19.06,19.06,19.06,19.06
25/07/2020,19.06,19.06,19.06,19.06
24/07/2020,19.06,18.88,19.11,18.86
23/07/2020,18.95,19.11,19.14,18.86
22/07/2020,19.11,19.09,19.17,18.98
21/07/2020,19.01,18.96,19.08,18.96
20/07/2020,18.60,18.52,18.64,18.51
17/07/2020,18.84,19.00,19.00,18.72
16/07/2020,19.03,19.03,19.13,19.01
15/07/2020,19.12,19.17,19.25,19.10
14/07/2020,19.29,18.88,19.32,18.88
13/07/2020,19.02,19.15,19.29,18.96
12/07/2020,19.01,19.01,19.01,19.01
11/07/2020,19.01,19.01,19.01,19.01
10/07/2020,19.01,18.98,19.05,18.91
09/07/2020,19.07,19.17,19.22,18.83
08/07/2020,19.36,19.14,19.36,19.10
07/07/2020,18.92,18.79,19.03,18.75
06/07/2020,18.86,18.77,18.95,18.77
05/07/2020,18.50,18.50,18.50,18.50
04/07/2020,18.50,18.50,18.50,18.50
02/07/2020,18.50,18.51,18.70,18.43
01/07/2020,18.24,18.14,18.37,18.14
30/06/2020,18.00,18.12,18.13,17.90
29/06/2020,18.33,18.21,18.35,18.11
26/06/2020,18.16,18.37,18.40,18.07
25/06/2020,18.61,18.54,18.64,18.46
24/06/2020,18.59,18.75,18.79,18.54
23/06/2020,18.55,18.63,18.69,18.52
22/06/2020,18.59,18.45,18.66,18.42
19/06/2020,18.54,18.82,18.82,18.46
18/06/2020,18.62,18.59,18.70,18.54
17/06/2020,18.75,18.86,18.99,18.75
16/06/2020,18.89,19.28,19.28,18.68
15/06/2020,18.29,17.96,18.42,17.88
12/06/2020,18.48,18.71,18.76,18.21
11/06/2020,17.85,18.32,18.43,17.85
