Date,Price,Open,High,Low,Vol.,Change %
08/03/2021,22.59,22.74,22.81,22.48,615.37K,-1.40%
05/03/2021,22.91,22.92,22.95,22.59,435.57K,0.53%
04/03/2021,22.79,23.18,23.37,22.73,658.47K,-2.57%
03/03/2021,23.39,23.51,23.55,23.33,402.47K,-0.47%
02/03/2021,23.5,23.66,23.69,23.39,655.37K,-1.14%
01/03/2021,23.77,23.48,23.89,23.4,942.72K,4.03%
26/02/2021,22.85,23.08,23.12,22.65,984.80K,0.13%
25/02/2021,22.82,23.39,23.55,22.82,759.11K,-4.32%
24/02/2021,23.85,23.56,23.87,23.43,445.97K,0.17%
23/02/2021,23.81,23.64,23.95,23.45,603.31K,1.84%
22/02/2021,23.38,23.42,23.67,23.3,378.40K,-0.97%
19/02/2021,23.61,23.62,23.75,23.58,387.38K,0.60%
18/02/2021,23.47,23.3,23.49,23.11,284.34K,-0.55%
17/02/2021,23.6,23.38,23.65,23.32,544.69K,-0.97%
16/02/2021,23.83,24.02,24.07,23.78,701.60K,-0.33%
12/02/2021,23.91,23.84,23.95,23.83,129.73K,0.13%
11/02/2021,23.88,23.9,24.03,23.84,489.10K,0.04%
10/02/2021,23.87,23.86,24,23.73,497.60K,0.25%
09/02/2021,23.81,23.84,23.9,23.75,420.32K,-1.12%
08/02/2021,24.08,23.81,24.08,23.81,612.21K,0.92%
05/02/2021,23.86,23.81,23.98,23.74,610.65K,1.10%
04/02/2021,23.6,23.57,23.67,23.37,507.43K,-0.04%
03/02/2021,23.61,23.57,23.65,23.41,1.13M,0.51%
02/02/2021,23.49,23.54,23.56,23.37,647.78K,-0.34%
01/02/2021,23.57,23.29,23.64,23.28,1.28M,4.99%
29/01/2021,22.45,22.76,22.76,22.42,1.05M,-3.44%
28/01/2021,23.25,23,23.35,22.95,572.20K,0.87%
27/01/2021,23.05,23.36,23.41,22.96,1.57M,-2.70%
26/01/2021,23.69,23.67,23.71,23.45,632.26K,-1.37%
25/01/2021,24.02,24.2,24.22,23.78,648.62K,-1.60%
22/01/2021,24.41,24.38,24.49,24.22,824.22K,-2.09%
21/01/2021,24.93,25.13,25.21,24.87,889.90K,-0.44%
20/01/2021,25.04,24.91,25.13,24.84,880.79K,3.69%
19/01/2021,24.15,24.52,24.6,24.04,917.61K,-1.39%
15/01/2021,24.49,24.57,24.62,24.42,771.84K,-1.69%
