Date,Price,Open,High,Low,IDX30_Vol,Change %
08/03/2021,501.18,508.36,509.14,500.72,1350000000,-0.26%
05/03/2021,502.51,502.2,506.45,500.64,1830000000,-0.71%
04/03/2021,506.1,514.16,514.54,505.14,1840000000,-2.03%
03/03/2021,516.61,518.97,519.2,512.24,1230000000,0.09%
02/03/2021,516.13,519.49,520.72,514.67,1770000000,0.08%
01/03/2021,515.72,509.45,515.72,506.89,1770000000,2.42%
26/02/2021,503.52,500.95,507.64,498.88,3360000000,-0.74%
25/02/2021,507.3,510.76,512.04,505.71,1810000000,0.18%
24/02/2021,506.4,512.11,514.08,506.06,1960000000,-0.76%
23/02/2021,510.29,506.63,511.51,504.99,1950000000,1.01%
22/02/2021,505.17,510.27,511.5,505.17,2460000000,-0.12%
19/02/2021,505.8,498.9,505.8,498.86,1530000000,1.21%
18/02/2021,499.73,503.02,508.36,499.73,1730000000,-0.55%
17/02/2021,502.51,510.08,510.71,501.13,1830000000,-1.43%
16/02/2021,509.8,511.66,512.31,508.08,1630000000,0.09%
15/02/2021,509.32,510.52,514.05,508.88,1670000000,0.50%
11/02/2021,506.77,509.69,510.22,505.14,1560000000,-0.01%
10/02/2021,506.83,506.96,508.77,503.89,2630000000,0.39%
09/02/2021,504.87,511.68,516.99,504.08,2750000000,-0.81%
08/02/2021,508.98,513.31,514.75,508.38,2210000000,0.25%
05/02/2021,507.69,510.53,510.86,503.3,2360000000,0.31%
04/02/2021,506.11,505.89,513.97,502.54,2410000000,1.01%
03/02/2021,501.05,506.64,509.59,500.71,2780000000,0.19%
02/02/2021,500.08,512,512.43,497.9,2810000000,-0.96%
01/02/2021,504.93,485.72,506.64,472.49,4560000000,3.76%
29/01/2021,486.62,510.08,515.14,485.12,1700000000,-3.69%
28/01/2021,505.28,510.4,519.33,502.23,1490000000,-2.28%
27/01/2021,517.09,522.49,523.23,507.82,1460000000,-0.60%
26/01/2021,520.23,531.25,532.91,519.4,1610000000,-2.16%
25/01/2021,531.72,535.84,535.93,520.4,1250000000,-0.39%
22/01/2021,533.81,543.59,544.55,532.28,1310000000,-1.69%
21/01/2021,542.99,551.38,553.06,541.92,1160000000,-0.46%
20/01/2021,545.48,534.31,546.96,532.45,1530000000,2.45%
19/01/2021,532.44,540.86,542.51,529.45,1340000000,-0.76%
18/01/2021,536.5,529.07,538.22,525.47,1500000000,1.11%
15/01/2021,530.59,541.96,543.91,527.6,2140000000,-1.65%
14/01/2021,539.48,541.44,544.28,536.71,1910000000,0.03%
13/01/2021,539.34,542.03,543.29,535.13,1710000000,0.65%
12/01/2021,535.84,539.93,543.56,534.91,2290000000,-0.53%
11/01/2021,538.7,529.28,539.29,529.02,2420000000,2.38%
08/01/2021,526.18,519.15,528.02,517.66,1610000000,2.45%
07/01/2021,513.57,511.12,515.09,510.43,1010000000,1.19%
06/01/2021,507.52,515.5,516.96,499.39,1310000000,-1.50%
05/01/2021,515.27,514.53,516.41,510.15,1060000000,0.17%
04/01/2021,514.4,504.01,514.98,497.64,1030000000,2.42%
30/12/2020,502.27,509.67,509.75,501.89,1250000000,-1.08%
29/12/2020,507.76,516.16,518.16,506.49,1040000000,-1.02%
28/12/2020,512.99,510.62,514.1,499.65,986480000,2.18%
23/12/2020,502.05,508.09,511.99,487.63,1500000000,-0.38%
22/12/2020,503.98,518.04,520.27,502.73,1800000000,-3.23%
21/12/2020,520.82,522.51,524.86,517.69,1670000000,0.37%
18/12/2020,518.9,521.98,523.58,518.11,1780000000,-0.97%
17/12/2020,523.97,527.36,528.9,520.52,1830000000,-0.29%
16/12/2020,525.46,518.13,526.78,518.13,1990000000,2.48%
15/12/2020,512.75,509.41,512.75,504.73,1720000000,0.65%
