Date,Price,Open,High,Low,Vol.,Change %
09/03/2021,6256.920,6255.840,6258.340,6233.810,9.03B,0.14%
08/03/2021,6248.460,6304.000,6325.520,6239.050,15.57B,-0.16%
05/03/2021,6258.750,6263.040,6307.680,6245.310,15.36B,-0.51%
04/03/2021,6290.800,6355.380,6369.410,6270.110,23.82B,-1.35%
03/03/2021,6376.760,6378.800,6394.450,6334.240,24.24B,0.28%
02/03/2021,6359.210,6367.440,6388.120,6329.500,18.07B,0.33%
01/03/2021,6338.510,6281.860,6339.010,6261.560,17.31B,1.55%
26/02/2021,6241.800,6246.320,6302.390,6184.520,21.95B,-0.76%
25/02/2021,6289.650,6280.730,6309.760,6274.500,23.75B,0.62%
24/02/2021,6251.050,6283.790,6294.140,6223.650,15.22B,-0.35%
23/02/2021,6272.810,6267.450,6279.140,6241.950,12.63B,0.28%
22/02/2021,6255.310,6267.020,6312.870,6255.310,14.50B,0.38%
19/02/2021,6231.930,6196.900,6231.930,6173.590,13.36B,0.51%
18/02/2021,6200.310,6230.360,6281.360,6200.310,16.75B,-0.44%
17/02/2021,6227.730,6292.970,6314.560,6209.310,16.99B,-1.03%
16/02/2021,6292.400,6291.010,6308.810,6274.350,14.42B,0.35%
15/02/2021,6270.320,6244.380,6283.420,6244.380,12.40B,0.77%
11/02/2021,6222.520,6221.630,6232.850,6194.010,10.40B,0.33%
10/02/2021,6201.830,6198.030,6216.940,6168.010,12.26B,0.33%
09/02/2021,6181.670,6232.100,6286.290,6157.130,17.53B,-0.44%
08/02/2021,6208.870,6193.550,6224.410,6180.730,16.16B,0.93%
05/02/2021,6151.730,6136.390,6151.730,6090.980,13.47B,0.73%
04/02/2021,6107.220,6111.760,6179.370,6069.550,14.82B,0.48%
03/02/2021,6077.750,6096.580,6137.680,6047.410,15.39B,0.56%
02/02/2021,6043.840,6119.010,6157.250,6018.090,22.73B,-0.39%
01/02/2021,6067.540,5856.780,6070.730,5735.470,20.89B,3.50%
29/01/2021,5862.350,6010.340,6068.130,5825.290,14.77B,-1.96%
28/01/2021,5979.390,6065.790,6123.460,5957.550,15.73B,-2.12%
27/01/2021,6109.170,6153.080,6154.600,5998.900,18.14B,-0.50%
26/01/2021,6140.170,6252.710,6269.670,6123.010,17.22B,-1.89%
25/01/2021,6258.570,6322.520,6322.730,6148.310,15.48B,-0.77%
