date,dom_buy,dom_sell,for_buy,for_sell,tot_buy,dom_total,for_flow
01/01/2011,2606877.75,2828761.25,1296785.875,1074902.125,3903663.625,5435639,221883.75
02/01/2011,2606877.75,2828761.25,1296785.875,1074902.125,3903663.625,5435639,221883.75
03/01/2011,3236586.5,3869030.5,1730556.625,1098112.75,4967143.125,7105617,632443.875
04/01/2011,2557211.5,2307759,1498122.25,1747574.75,4055333.75,4864970.5,-249452.5
05/01/2011,3702747.75,3985735.25,1781637.5,1498650.125,5484385.25,7688483,282987.375
06/01/2011,3413393,3152780.75,1726112.75,1986725,5139505.75,6566173.75,-260612.25
07/01/2011,3618084.75,4341445,2421170.75,1697810.625,6039255.5,7959529.75,723360.125
08/01/2011,3618084.75,4341445,2421170.75,1697810.625,6039255.5,7959529.75,723360.125
09/01/2011,3618084.75,4341445,2421170.75,1697810.625,6039255.5,7959529.75,723360.125
10/01/2011,5830073.5,4199146,2659328.5,4290256.5,8489402,10029219.5,-1630928
11/01/2011,4885063,3540804.5,2336230.25,3680488.75,7221293.25,8425867.5,-1344258.5
12/01/2011,4508965,3997392,2362366.75,2873939.75,6871331.75,8506357,-511573
13/01/2011,4244199.5,4395191,2655249.5,2504258.25,6899449,8639390.5,150991.25
14/01/2011,2558531.75,2240739.75,1438206.125,1755997.875,3996737.875,4799271.5,-317791.75
15/01/2011,2558531.75,2240739.75,1438206.125,1755997.875,3996737.875,4799271.5,-317791.75
16/01/2011,2558531.75,2240739.75,1438206.125,1755997.875,3996737.875,4799271.5,-317791.75
17/01/2011,2345368.75,2224405.5,1323897.75,1444861.125,3669266.5,4569774.25,-120963.375
18/01/2011,2839789.25,2869506.5,1363634.5,1333917.25,4203423.75,5709295.75,29717.25
19/01/2011,2751107.75,2943591.5,2777864.25,2585380.25,5528972,5694699.25,192484
20/01/2011,3116025.25,3077420.5,1910842.5,1949447.125,5026867.75,6193445.75,-38604.625
21/01/2011,4416309.5,3378611.75,2433330.75,3471028.25,6849640.25,7794921.25,-1037697.5
22/01/2011,4416309.5,3378611.75,2433330.75,3471028.25,6849640.25,7794921.25,-1037697.5
23/01/2011,4416309.5,3378611.75,2433330.75,3471028.25,6849640.25,7794921.25,-1037697.5
24/01/2011,2557211.5,2307759,1498122.25,1747574.75,4055333.75,4864970.5,-249452.5
25/01/2011,3220766.25,3552595.75,2378271,2046441.625,5599037.25,6773362,331829.375
26/01/2011,3591111.5,4128245.75,1947750.125,1410615.875,5538861.625,7719357.25,537134.25
27/01/2011,3618084.75,4341445,2421170.75,1697810.625,6039255.5,7959529.75,723360.125
28/01/2011,2679987,2421398.5,4112030,4370618.5,6792017,5101385.5,-258588.5
29/01/2011,2679987,2421398.5,4112030,4370618.5,6792017,5101385.5,-258588.5
30/01/2011,2679987,2421398.5,4112030,4370618.5,6792017,5101385.5,-258588.5
31/01/2011,3293041.25,3093172.5,1969235.375,2169104,5262276.625,6386213.75,-199868.625
01/02/2011,2908713.5,3124353,1945731.25,1730091.625,4854444.75,6033066.5,215639.625
02/02/2011,2446328.75,2582291.25,1891086.375,1755124.125,4337415.125,5028620,135962.25
03/02/2011,2446328.75,2582291.25,1891086.375,1755124.125,4337415.125,5028620,135962.25
04/02/2011,1625422.875,1548802.875,1171412.125,1248032.25,2796835,3174225.75,-76620.125
05/02/2011,1625422.875,1548802.875,1171412.125,1248032.25,2796835,3174225.75,-76620.125
06/02/2011,1625422.875,1548802.875,1171412.125,1248032.25,2796835,3174225.75,-76620.125
07/02/2011,1984418.75,1903947.5,1506546.5,1587018,3490965.25,3888366.25,-80471.5
08/02/2011,2154140,2373113.5,2558254,2339280.5,4712394,4527253.5,218973.5
09/02/2011,2812521.25,2368487,1667506.125,2111540.25,4480027.375,5181008.25,-444034.125
10/02/2011,2523887.5,3043234.75,2647918.5,2128571.25,5171806,5567122.25,519347.25
11/02/2011,3455256,3274948.25,1806431.25,1986739.25,5261687.25,6730204.25,-180308
12/02/2011,3455256,3274948.25,1806431.25,1986739.25,5261687.25,6730204.25,-180308
13/02/2011,3455256,3274948.25,1806431.25,1986739.25,5261687.25,6730204.25,-180308
14/02/2011,9291629,11053229,2962344,1200743.375,12253973,20344858,1761600.625
15/02/2011,9291629,11053229,2962344,1200743.375,12253973,20344858,1761600.625
16/02/2011,2086104.625,2085304.625,2023991,2024790.875,4110095.625,4171409.25,-799.875
17/02/2011,2564696,2689900.75,1779311.75,1654106.875,4344007.75,5254596.75,125204.875
18/02/2011,3701253.25,4255925.5,2616245.25,2061573.25,6317498.5,7957178.75,554672
19/02/2011,3701253.25,4255925.5,2616245.25,2061573.25,6317498.5,7957178.75,554672
20/02/2011,3701253.25,4255925.5,2616245.25,2061573.25,6317498.5,7957178.75,554672
21/02/2011,2510935.75,2818070.25,1400926.5,1093792.125,3911862.25,5329006,307134.375
22/02/2011,2252240.25,2402849.25,1415176.375,1264567.625,3667416.625,4655089.5,150608.75
23/02/2011,2791302.25,2538254.25,1291704.875,1544752.5,4083007.125,5329556.5,-253047.625
24/02/2011,2943824.75,2647118.25,1499197.75,1795904.125,4443022.5,5590943,-296706.375
25/02/2011,2610151.75,2310736.25,1138238.25,1437654,3748390,4920888,-299415.75
26/02/2011,2610151.75,2310736.25,1138238.25,1437654,3748390,4920888,-299415.75
27/02/2011,2610151.75,2310736.25,1138238.25,1437654,3748390,4920888,-299415.75
28/02/2011,2472548,2237761.25,1310387.25,1545173.75,3782935.25,4710309.25,-234786.5
01/03/2011,2783257.5,3354103.75,1906353.5,1335507.5,4689611,6137361.25,570846
02/03/2011,2189030.75,2090421.625,1524005.5,1622614.5,3713036.25,4279452.375,-98609
03/03/2011,3076075.5,3386223,1686628.375,1376480.75,4762703.875,6462298.5,310147.625
04/03/2011,19357454.68,13450713.56,7438373.201,13345114.32,26795827.88,32808168.24,-5906741.119
05/03/2011,19357454.68,13450713.56,7438373.201,13345114.32,26795827.88,32808168.24,-5906741.119
06/03/2011,19357454.68,13450713.56,7438373.201,13345114.32,26795827.88,32808168.24,-5906741.119
07/03/2011,2325380,2911026.25,1853872.875,1268226.75,4179252.875,5236406.25,585646.125
08/03/2011,3171969,3196398.25,1156762,1132332.75,4328731,6368367.25,24429.25
09/03/2011,3053174.5,3400059.75,1511367.25,1164481.75,4564541.75,6453234.25,346885.5
10/03/2011,2271829.75,2256183.25,888900.438,904546.813,3160730.188,4528013,-15646.375
11/03/2011,2557108.5,2281551,836205.875,1111763.625,3393314.375,4838659.5,-275557.75
12/03/2011,2557108.5,2281551,836205.875,1111763.625,3393314.375,4838659.5,-275557.75
13/03/2011,2557108.5,2281551,836205.875,1111763.625,3393314.375,4838659.5,-275557.75
14/03/2011,2934774.5,3130869.5,1320125.875,1124030.75,4254900.375,6065644,196095.125
15/03/2011,3677754.75,3719109.25,1286718.375,1245363.75,4964473.125,7396864,41354.625
16/03/2011,3027535.25,2718430.5,1001621.5,1310726.25,4029156.75,5745965.75,-309104.75
17/03/2011,2639462.5,2238271,1170305.875,1571497.5,3809768.375,4877733.5,-401191.625
18/03/2011,2836191.5,2927759,1458571.375,1367003.875,4294762.875,5763950.5,91567.5
19/03/2011,2836191.5,2927759,1458571.375,1367003.875,4294762.875,5763950.5,91567.5
20/03/2011,2836191.5,2927759,1458571.375,1367003.875,4294762.875,5763950.5,91567.5
21/03/2011,2234609.5,2142082.75,1062373,1154899.875,3296982.5,4376692.25,-92526.875
22/03/2011,2175347.5,1948239,1001350.813,1228459.5,3176698.313,4123586.5,-227108.687
23/03/2011,2544161,2770297.25,1579619.625,1353483.5,4123780.625,5314458.25,226136.125
24/03/2011,3804737.75,4662489,2181572,1323821,5986309.75,8467226.75,857751
25/03/2011,3067300.5,3666411.25,1935707.875,1336597,5003008.375,6733711.75,599110.875
26/03/2011,3067300.5,3666411.25,1935707.875,1336597,5003008.375,6733711.75,599110.875
27/03/2011,3067300.5,3666411.25,1935707.875,1336597,5003008.375,6733711.75,599110.875
28/03/2011,2047733,2246761.25,984436.375,785408.25,3032169.375,4294494.25,199028.125
29/03/2011,3011189.75,2910264,1270182.625,1371108.25,4281372.375,5921453.75,-100925.625
30/03/2011,3353343,3515106.25,1393402.75,1231639.125,4746745.75,6868449.25,161763.625
31/03/2011,4538630.5,5489280,2744278.75,1793629.375,7282909.25,10027910.5,950649.375
01/04/2011,3822341.75,4448077,2311215.75,1685480.25,6133557.5,8270418.75,625735.5
02/04/2011,3822341.75,4448077,2311215.75,1685480.25,6133557.5,8270418.75,625735.5
03/04/2011,3822341.75,4448077,2311215.75,1685480.25,6133557.5,8270418.75,625735.5
04/04/2011,2545291.5,2769223.5,1666464.125,1442532.25,4211755.625,5314515,223931.875
05/04/2011,2539961.25,2452575,970645.938,1058032.125,3510607.188,4992536.25,-87386.187
06/04/2011,4492326.5,4646099,1261865.5,1108092.875,5754192,9138425.5,153772.625
07/04/2011,3208627,3450145.5,1761833.125,1520314.5,4970460.125,6658772.5,241518.625
08/04/2011,3237725.192,17883078.18,16487274.32,1841921.33,19724999.51,21120803.37,14645352.99
09/04/2011,3237725.192,17883078.18,16487274.32,1841921.33,19724999.51,21120803.37,14645352.99
10/04/2011,3237725.192,17883078.18,16487274.32,1841921.33,19724999.51,21120803.37,14645352.99
11/04/2011,3238492,3463432,1655877,1430937.125,4894369,6701924,224939.875
12/04/2011,2566741.5,2296398,1134689.25,1405032.875,3701430.75,4863139.5,-270343.625
13/04/2011,3245653.25,3222116.5,1559374.375,1582911,4805027.625,6467769.75,-23536.625
14/04/2011,2920577,2611304.75,1174452.125,1483724.5,4095029.125,5531881.75,-309272.375
15/04/2011,2623591.5,2704032.5,1342835.25,1262394.25,3966426.75,5327624,80441
16/04/2011,2623591.5,2704032.5,1342835.25,1262394.25,3966426.75,5327624,80441
17/04/2011,2623591.5,2704032.5,1342835.25,1262394.25,3966426.75,5327624,80441
18/04/2011,2254304.75,2273664.75,1169929.625,1150569.375,3424234.375,4527969.5,19360.25
19/04/2011,2506657.25,2288392,1035420.313,1253685.5,3542077.563,4795049.25,-218265.187
20/04/2011,4109717,4495044.5,1790455.5,1405127.625,5900172.5,8604761.5,385327.875
21/04/2011,2840117.25,3247567.25,1836392.125,1428941.875,4676509.375,6087684.5,407450.25
22/04/2011,2840117.25,3247567.25,1836392.125,1428941.875,4676509.375,6087684.5,407450.25
23/04/2011,2840117.25,3247567.25,1836392.125,1428941.875,4676509.375,6087684.5,407450.25
24/04/2011,2840117.25,3247567.25,1836392.125,1428941.875,4676509.375,6087684.5,407450.25
25/04/2011,1829128.5,2046717.25,821417.563,603828.75,2650546.063,3875845.75,217588.813
26/04/2011,2627710.5,2501027.5,983615.125,1110298.125,3611325.625,5128738,-126683
27/04/2011,2674602,3007014.75,1084828.5,752415.75,3759430.5,5681616.75,332412.75
28/04/2011,2548365,2921228.25,1278460.125,905596.938,3826825.125,5469593.25,372863.187
29/04/2011,2841414,3441423.5,1576435,976425.563,4417849,6282837.5,600009.437
30/04/2011,2841414,3441423.5,1576435,976425.563,4417849,6282837.5,600009.437
01/05/2011,2841414,3441423.5,1576435,976425.563,4417849,6282837.5,600009.437
02/05/2011,2264235,3027808.5,1221585.5,458012.031,3485820.5,5292043.5,763573.469
03/05/2011,2459523,2624288.5,1364605.75,1199840.5,3824128.75,5083811.5,164765.25
04/05/2011,3346836.75,3594285.75,1829039.75,1581590.75,5175876.5,6941122.5,247449
05/05/2011,4352485,4486848.5,1567575.75,1433212.375,5920060.75,8839333.5,134363.375
06/05/2011,3259025.5,3498627.25,1706721.375,1467119.875,4965746.875,6757652.75,239601.5
07/05/2011,3259025.5,3498627.25,1706721.375,1467119.875,4965746.875,6757652.75,239601.5
08/05/2011,3259025.5,3498627.25,1706721.375,1467119.875,4965746.875,6757652.75,239601.5
09/05/2011,2794087.25,2706200.75,1164022.375,1251908.75,3958109.625,5500288,-87886.375
10/05/2011,3885890.25,3549565,1127977.25,1464302.625,5013867.5,7435455.25,-336325.375
11/05/2011,3521943,3876890.75,1495949.875,1141002.125,5017892.875,7398833.75,354947.75
12/05/2011,3594751,3631424.75,1295955,1259281.125,4890706,7226175.75,36673.875
13/05/2011,3896720.5,4087958,1307803.25,1116565.875,5204523.75,7984678.5,191237.375
14/05/2011,3896720.5,4087958,1307803.25,1116565.875,5204523.75,7984678.5,191237.375
15/05/2011,3896720.5,4087958,1307803.25,1116565.875,5204523.75,7984678.5,191237.375
16/05/2011,3006469.75,2582478.75,741168.375,1165159.375,3747638.125,5588948.5,-423991
17/05/2011,3006469.75,2582478.75,741168.375,1165159.375,3747638.125,5588948.5,-423991
18/05/2011,3832624.5,3777508,1601531.25,1656647.875,5434155.75,7610132.5,-55116.625
19/05/2011,5375226.5,5431736.5,2645894.75,2589384.75,8021121.25,10806963,56510
20/05/2011,3489256.75,3577633.75,1338739.875,1250363,4827996.625,7066890.5,88376.875
21/05/2011,3489256.75,3577633.75,1338739.875,1250363,4827996.625,7066890.5,88376.875
22/05/2011,3489256.75,3577633.75,1338739.875,1250363,4827996.625,7066890.5,88376.875
23/05/2011,4328714,3655529.5,1221709,1894893.75,5550423,7984243.5,-673184.75
24/05/2011,3222862.75,2788087.25,1002283.188,1437058.75,4225145.938,6010950,-434775.562
25/05/2011,2766284,2506928,1247595.75,1506951.875,4013879.75,5273212,-259356.125
26/05/2011,3371722,2534215.25,1087131.375,1924638,4458853.375,5905937.25,-837506.625
27/05/2011,2013382,2343183.5,1450585.5,1120784.125,3463967.5,4356565.5,329801.375
28/05/2011,2013382,2343183.5,1450585.5,1120784.125,3463967.5,4356565.5,329801.375
29/05/2011,2013382,2343183.5,1450585.5,1120784.125,3463967.5,4356565.5,329801.375
30/05/2011,4615015,4624827,2329979.25,2320167.5,6944994.25,9239842,9811.75
31/05/2011,5025601.5,5263289,2241866.25,2004179,7267467.75,10288890.5,237687.25
01/06/2011,3284176.115,3895392.896,2581438.232,1970221.451,5865614.347,7179569.011,611216.781
02/06/2011,3284176.115,3895392.896,2581438.232,1970221.451,5865614.347,7179569.011,611216.781
03/06/2011,2397915,2492455.25,2163151.5,2068611.625,4561066.5,4890370.25,94539.875
04/06/2011,2397915,2492455.25,2163151.5,2068611.625,4561066.5,4890370.25,94539.875
05/06/2011,2397915,2492455.25,2163151.5,2068611.625,4561066.5,4890370.25,94539.875
06/06/2011,2409987.25,2158877,918114.25,1169224.5,3328101.5,4568864.25,-251110.25
07/06/2011,2898899.241,2522572.443,1030554.43,1406881.228,3929453.671,5421471.684,-376326.798
08/06/2011,3238102.631,3118294.969,3020780.157,3140587.82,6258882.788,6356397.6,-119807.663
09/06/2011,3652016.25,2957025.75,1199353.625,1894344,4851369.875,6609042,-694990.375
10/06/2011,2127926.5,1985899.125,969114.063,1111141.25,3097040.563,4113825.625,-142027.187
11/06/2011,2127926.5,1985899.125,969114.063,1111141.25,3097040.563,4113825.625,-142027.187
12/06/2011,2127926.5,1985899.125,969114.063,1111141.25,3097040.563,4113825.625,-142027.187
13/06/2011,3017606.5,2962598.5,861654.563,916662.625,3879261.063,5980205,-55008.062
14/06/2011,2208603.25,3996513.25,2635020.25,847110.5,4843623.5,6205116.5,1787909.75
15/06/2011,2302119.75,2773961.5,1305972.625,834131,3608092.375,5076081.25,471841.625
16/06/2011,3045271.5,2878964,1140503.375,1306810.75,4185774.875,5924235.5,-166307.375
17/06/2011,3189629.5,3182383,1365711.125,1372957.5,4555340.625,6372012.5,-7246.375
18/06/2011,3189629.5,3182383,1365711.125,1372957.5,4555340.625,6372012.5,-7246.375
19/06/2011,3189629.5,3182383,1365711.125,1372957.5,4555340.625,6372012.5,-7246.375
20/06/2011,2187412.75,2147152.25,1031797.125,1072057.75,3219209.875,4334565,-40260.625
21/06/2011,2522785.25,2881033.75,1286233.75,927985.25,3809019,5403819,358248.5
22/06/2011,2488753.75,3017050.75,1273478.125,745180.938,3762231.875,5505804.5,528297.187
23/06/2011,2380512.5,3076837,1432587.625,736263,3813100.125,5457349.5,696324.625
24/06/2011,2295544.25,2702280.25,1304929.125,898193.125,3600473.375,4997824.5,406736
25/06/2011,2295544.25,2702280.25,1304929.125,898193.125,3600473.375,4997824.5,406736
26/06/2011,2295544.25,2702280.25,1304929.125,898193.125,3600473.375,4997824.5,406736
27/06/2011,1995261.375,1926200,897738.125,966799.438,2892999.5,3921461.375,-69061.313
28/06/2011,2229290.25,2291676.75,1191476.375,1129089.75,3420766.625,4520967,62386.625
29/06/2011,2229290.25,2291676.75,1191476.375,1129089.75,3420766.625,4520967,62386.625
30/06/2011,3000252,4019761.5,2445802,1426292.5,5446054,7020013.5,1019509.5
01/07/2011,3108786.774,3868619.937,2331732.002,1571898.839,5440518.776,6977406.711,759833.163
02/07/2011,3108786.774,3868619.937,2331732.002,1571898.839,5440518.776,6977406.711,759833.163
03/07/2011,3108786.774,3868619.937,2331732.002,1571898.839,5440518.776,6977406.711,759833.163
04/07/2011,2681688.75,3115373.5,1658468.25,1224783.75,4340157,5797062.25,433684.5
05/07/2011,2530687,2610857.5,3968050.75,3887880.25,6498737.75,5141544.5,80170.5
06/07/2011,2533431.75,2518992.5,1176986,1191425.375,3710417.75,5052424.25,-14439.375
07/07/2011,4208238.66,6188860.137,3145903.704,1165282.227,7354142.364,10397098.8,1980621.477
08/07/2011,3667136.25,4278433.5,2158080,1546782.625,5825216.25,7945569.75,611297.375
09/07/2011,3667136.25,4278433.5,2158080,1546782.625,5825216.25,7945569.75,611297.375
10/07/2011,3667136.25,4278433.5,2158080,1546782.625,5825216.25,7945569.75,611297.375
11/07/2011,2814723.5,2876490.5,1573340.625,1511573.875,4388064.125,5691214,61766.75
12/07/2011,3028266.25,2796658.5,1747785.25,1979392.875,4776051.5,5824924.75,-231607.625
13/07/2011,2820862,2801158.25,1160770.75,1180474.5,3981632.75,5622020.25,-19703.75
14/07/2011,2663502.5,2703297.25,1345150.25,1305355.25,4008652.75,5366799.75,39795
15/07/2011,2662520.25,2876166,1697925.875,1484279.875,4360446.125,5538686.25,213646
16/07/2011,2662520.25,2876166,1697925.875,1484279.875,4360446.125,5538686.25,213646
17/07/2011,2662520.25,2876166,1697925.875,1484279.875,4360446.125,5538686.25,213646
18/07/2011,2380673.75,2688840,1868174.5,1560008.25,4248848.25,5069513.75,308166.25
19/07/2011,3434702,3202915.25,1699289.5,1931076.125,5133991.5,6637617.25,-231786.625
20/07/2011,4998425.5,5005566.5,1401731.5,1394590.625,6400157,10003992,7140.875
21/07/2011,3843212,3836648.5,1753641.125,1760204.25,5596853.125,7679860.5,-6563.125
22/07/2011,3349607.5,3858493.75,1799853,1290966.625,5149460.5,7208101.25,508886.375
23/07/2011,3349607.5,3858493.75,1799853,1290966.625,5149460.5,7208101.25,508886.375
24/07/2011,3349607.5,3858493.75,1799853,1290966.625,5149460.5,7208101.25,508886.375
25/07/2011,3658501.25,3555918,1421008.25,1523591.5,5079509.5,7214419.25,-102583.25
26/07/2011,4374664.5,4456068,1873858,1792455,6248522.5,8830732.5,81403
27/07/2011,4354839.5,4777628,1851143,1428354.375,6205982.5,9132467.5,422788.625
28/07/2011,3899298.5,3908363.5,1759225.875,1750160.5,5658524.375,7807662,9065.375
29/07/2011,3779054.25,4053951.25,1907414.25,1632517.25,5686468.5,7833005.5,274897
30/07/2011,3779054.25,4053951.25,1907414.25,1632517.25,5686468.5,7833005.5,274897
31/07/2011,3779054.25,4053951.25,1907414.25,1632517.25,5686468.5,7833005.5,274897
01/08/2011,4327865,4576748.5,14177188,13928304,18505053,8904613.5,248884
02/08/2011,4467515.5,5155511,2059695.375,1371700.125,6527210.875,9623026.5,687995.25
03/08/2011,4260352,3720979,1402381.25,1941754.5,5662733.25,7981331,-539373.25
04/08/2011,5076389,4511167,1696930.625,2262153,6773319.625,9587556,-565222.375
05/08/2011,7608123,6376017.5,2273257.5,3505362.75,9881380.5,13984140.5,-1232105.25
06/08/2011,7608123,6376017.5,2273257.5,3505362.75,9881380.5,13984140.5,-1232105.25
07/08/2011,7608123,6376017.5,2273257.5,3505362.75,9881380.5,13984140.5,-1232105.25
08/08/2011,7382674,6245840,2040673.75,3177507.75,9423347.75,13628514,-1136834
