Dates,US0001W,USSO1Z
01/01/2010,0.21375,0.132
04/01/2010,0.20813,0.132
05/01/2010,0.20813,0.131
06/01/2010,0.20813,0.13
07/01/2010,0.20813,0.125
08/01/2010,0.20813,0.127
11/01/2010,0.2075,0.12
12/01/2010,0.2075,0.125
13/01/2010,0.2075,0.122
14/01/2010,0.2075,0.121
15/01/2010,0.2075,0.137
18/01/2010,0.2075,0.126
19/01/2010,0.2075,0.119
20/01/2010,0.2075,0.138
21/01/2010,0.20875,0.121
22/01/2010,0.20875,0.1385
25/01/2010,0.20875,0.134
26/01/2010,0.20875,0.128
27/01/2010,0.20875,0.127
28/01/2010,0.20625,0.128
29/01/2010,0.20625,0.128
01/02/2010,0.2075,0.1255
02/02/2010,0.20875,0.132
03/02/2010,0.2075,0.136
04/02/2010,0.2075,0.13
05/02/2010,0.20875,0.135
08/02/2010,0.20875,0.138
09/02/2010,0.20875,0.129
10/02/2010,0.2075,0.129
11/02/2010,0.20875,0.126
12/02/2010,0.20875,0.13
15/02/2010,0.2075,0.125
16/02/2010,0.20875,0.13
17/02/2010,0.20875,0.119
18/02/2010,0.20875,0.1305
19/02/2010,0.20875,0.14
22/02/2010,0.2075,0.138
23/02/2010,0.2075,0.132
24/02/2010,0.2075,0.128
25/02/2010,0.2075,0.12
26/02/2010,0.20688,0.117
01/03/2010,0.2075,0.121
02/03/2010,0.2075,0.129
03/03/2010,0.2075,0.138
04/03/2010,0.20813,0.153
05/03/2010,0.20938,0.158
08/03/2010,0.21125,0.16
09/03/2010,0.21125,0.137
10/03/2010,0.21,0.134
11/03/2010,0.21,0.156
12/03/2010,0.21,0.173
15/03/2010,0.21125,0.184
16/03/2010,0.22063,0.192
17/03/2010,0.2275,0.183
18/03/2010,0.22906,0.1995
19/03/2010,0.235,0.193
22/03/2010,0.23469,0.192
23/03/2010,0.23438,0.192
24/03/2010,0.23438,0.198
25/03/2010,0.23375,0.196
26/03/2010,0.235,0.1945
29/03/2010,0.23125,0.196
30/03/2010,0.23388,0.189
31/03/2010,0.23388,0.187
01/04/2010,0.23388,0.194
02/04/2010,0.23388,0.19
05/04/2010,0.23388,0.2
06/04/2010,0.23638,0.201
07/04/2010,0.23763,0.2065
08/04/2010,0.23763,0.2
09/04/2010,0.24013,0.202
12/04/2010,0.24075,0.2
13/04/2010,0.242,0.199
14/04/2010,0.24325,0.203
15/04/2010,0.246,0.1965
16/04/2010,0.24713,0.197
19/04/2010,0.25213,0.195
20/04/2010,0.25588,0.192
21/04/2010,0.25338,0.208
