Date,Price,Open,High,Low,Volume
07/12/2020,935.04,930.28,935.66,927.10,1900000000
04/12/2020,916.25,920.29,920.49,910.44,2310000000
03/12/2020,921.18,927.29,929.72,917.16,3310000000
02/12/2020,922.36,912.68,922.36,905.94,3730000000
01/12/2020,904.83,890.15,908.57,879.50,3460000000
30/11/2020,883.06,918.94,921.26,872.24,9810000000
27/11/2020,920.11,924.66,926.37,916.99,3350000000
26/11/2020,920.78,900.96,920.78,900.96,2800000000
25/11/2020,903.46,917.55,922.83,903.36,3410000000
24/11/2020,907.88,908.54,910.81,902.10,3100000000
23/11/2020,901.66,887.35,902.21,887.35,2740000000
20/11/2020,884.90,889.29,894.86,881.98,2420000000
19/11/2020,887.12,880.90,892.68,879.36,2910000000
18/11/2020,885.65,881.82,889.57,881.82,3410000000
17/11/2020,881.81,879.60,888.24,876.84,3570000000
16/11/2020,873.44,876.91,880.94,867.05,2480000000
13/11/2020,867.20,863.57,869.31,859.24,1900000000
12/11/2020,866.68,876.17,876.70,864.16,2190000000
11/11/2020,880.02,869.41,880.85,867.37,4890000000
10/11/2020,863.97,858.60,865.53,853.01,4550000000
09/11/2020,840.51,845.54,848.48,830.78,3420000000
06/11/2020,834.90,820.56,835.60,812.80,2780000000
05/11/2020,816.16,795.71,816.48,794.34,2580000000
04/11/2020,781.13,797.94,800.94,781.13,1960000000
03/11/2020,794.77,793.01,795.09,789.51,2090000000
02/11/2020,788.60,784.61,791.50,777.54,2360000000
27/10/2020,790.50,791.09,797.60,787.79,1930000000
26/10/2020,794.21,790.45,798.47,789.47,1940000000
23/10/2020,789.82,794.15,794.36,786.02,2360000000
22/10/2020,788.56,783.99,789.56,780.11,2330000000
21/10/2020,787.20,790.95,793.79,785.23,2780000000
20/10/2020,786.44,789.54,791.96,782.45,2340000000
19/10/2020,790.45,787.58,790.45,782.14,2910000000
16/10/2020,783.45,784.80,786.21,775.06,1920000000
15/10/2020,782.88,795.35,796.74,782.52,3170000000
14/10/2020,796.28,784.27,796.80,781.95,3380000000
13/10/2020,783.55,777.31,783.97,769.28,1960000000
12/10/2020,777.30,777.68,779.96,775.61,1840000000
09/10/2020,771.77,769.82,773.13,767.65,1450000000
08/10/2020,770.45,767.90,770.45,762.43,1590000000
07/10/2020,764.09,758.44,766.00,755.79,1420000000
06/10/2020,764.16,766.77,769.62,763.26,1550000000
05/10/2020,755.09,756.02,758.29,748.00,1000000000
02/10/2020,750.86,761.44,761.54,741.51,1560000000
01/10/2020,761.05,745.17,761.05,744.96,1450000000
30/09/2020,737.15,745.92,747.94,731.51,1470000000
29/09/2020,742.38,756.10,759.28,739.37,1440000000
28/09/2020,750.00,765.10,769.90,750.00,1450000000
25/09/2020,760.32,745.61,761.24,740.56,1600000000
24/09/2020,740.00,743.44,750.45,735.88,1450000000
23/09/2020,754.18,759.60,765.73,745.09,1500000000
22/09/2020,756.38,754.27,765.32,751.51,1440000000
21/09/2020,767.97,780.17,781.99,765.25,1590000000
18/09/2020,780.32,775.76,781.87,770.84,2820000000
17/09/2020,775.54,781.37,788.31,770.66,1330000000
16/09/2020,781.37,792.74,794.23,780.27,1250000000
15/09/2020,790.75,807.21,809.77,788.09,1750000000
14/09/2020,805.12,789.41,805.12,789.31,2220000000
11/09/2020,778.32,730.92,780.53,727.91,3450000000
10/09/2020,756.11,785.64,785.69,756.11,2770000000
09/09/2020,804.35,818.47,818.47,802.59,1950000000
08/09/2020,826.07,824.78,828.68,824.78,1270000000
07/09/2020,823.99,824.78,826.92,816.16,1300000000
04/09/2020,825.62,834.74,834.72,815.26,1560000000
03/09/2020,834.74,843.17,846.82,827.95,1770000000
02/09/2020,843.17,841.25,847.71,837.93,1710000000
01/09/2020,841.25,824.19,841.25,820.19,1840000000
31/08/2020,824.19,847.75,852.52,822.53,3070000000
28/08/2020,847.75,852.66,854.73,843.26,1930000000
27/08/2020,852.66,849.52,854.79,843.86,1830000000
26/08/2020,849.52,850.99,853.41,845.80,1790000000
25/08/2020,850.99,836.14,851.84,836.38,2170000000
24/08/2020,836.14,834.84,839.33,830.33,1960000000
19/08/2020,834.84,839.02,846.89,834.14,2450000000
18/08/2020,839.02,827.22,843.73,826.55,3400000000
14/08/2020,827.22,825.80,828.92,821.58,2020000000
13/08/2020,825.80,825.22,835.01,821.16,2400000000
12/08/2020,825.22,812.30,826.78,809.66,3600000000
11/08/2020,812.30,806.90,816.43,806.95,2590000000
10/08/2020,806.90,806.19,809.10,802.66,1710000000
07/08/2020,806.19,811.59,812.67,799.91,3100000000
06/08/2020,811.59,801.69,813.80,801.71,2620000000
05/08/2020,801.69,789.90,802.43,786.06,2630000000
04/08/2020,789.90,774.37,789.90,774.47,2250000000
03/08/2020,774.37,803.01,804.86,760.47,3070000000
30/07/2020,803.01,795.38,803.01,792.05,2680000000
29/07/2020,795.38,799.68,800.38,793.46,1810000000
28/07/2020,799.68,800.36,807.09,796.70,1640000000
27/07/2020,800.36,791.14,800.36,790.44,1660000000
24/07/2020,791.14,806.55,807.03,791.14,1870000000
23/07/2020,806.55,799.72,811.28,799.83,2670000000
22/07/2020,799.72,800.48,806.51,797.58,2450000000
21/07/2020,800.48,785.83,806.63,784.96,2480000000
20/07/2020,785.83,792.82,797.11,781.60,1590000000
17/07/2020,792.82,797.85,799.79,792.82,1580000000
16/07/2020,797.85,793.95,801.17,793.95,1710000000
15/07/2020,793.95,795.33,804.06,793.50,2100000000
14/07/2020,795.33,791.85,798.28,790.65,1790000000
13/07/2020,791.85,784.56,794.28,782.56,1570000000
10/07/2020,784.56,789.53,794.05,784.56,1590000000
09/07/2020,789.53,796.59,804.10,789.24,2540000000
