Date,Price,Open,High,Low
25/01/2021,987.95,994.77,994.96,965.46
22/01/2021,991.58,1012.36,1013.94,989.08
21/01/2021,1011.21,1026.32,1030.11,1008.35
20/01/2021,1014.85,991.92,1017.19,988.41
19/01/2021,989.05,1005.93,1009.04,982.99
18/01/2021,998.26,986.53,1002.53,979.1
15/01/2021,988.75,1006.9,1010.49,982.3
14/01/2021,1002.38,1006.85,1010.29,997.16
13/01/2021,1002.89,1008.15,1010.63,994.61
12/01/2021,996.44,1003.74,1009.51,993.02
11/01/2021,1001.02,984.33,1001.9,984
08/01/2021,979.31,967.42,982.9,964.45
07/01/2021,957.31,952.48,959.92,950.65
06/01/2021,945.68,962.1,964.67,930.56
05/01/2021,961.39,958.84,963.61,950.82
04/01/2021,958.65,939.01,959.71,926.41
30/12/2020,934.89,949.19,949.32,934.22
29/12/2020,945.59,961.73,965.52,943.16
28/12/2020,955.9,953.06,957.88,932.01
23/12/2020,936.79,947.82,955.9,908.71
22/12/2020,938.98,966.23,969.74,936.9
21/12/2020,970.99,969.54,977.38,961.35
18/12/2020,962.36,966.2,969.22,960.55
17/12/2020,968.69,974.04,977.21,961.77
16/12/2020,970.06,956.37,972.13,956.37
15/12/2020,946.73,941.24,946.73,932.89
14/12/2020,941.18,935.23,942.08,932.61
11/12/2020,929.94,937.95,942.15,928.99
10/12/2020,932.33,940.84,943.67,928.03
08/12/2020,933.28,933.75,935.67,929.8
07/12/2020,936.32,927.9,938.27,927.02
04/12/2020,916.25,920.29,920.49,910.44
03/12/2020,921.18,927.29,929.72,917.16
02/12/2020,922.36,912.68,922.36,905.94
01/12/2020,904.83,890.15,908.57,879.5
30/11/2020,883.06,918.94,921.26,872.24
27/11/2020,920.11,924.66,926.37,916.99
26/11/2020,920.78,900.96,920.78,900.96
25/11/2020,903.46,917.55,922.83,903.36
24/11/2020,907.88,908.54,910.81,902.1
23/11/2020,901.66,887.35,902.21,887.35
20/11/2020,884.9,889.29,894.86,881.98
19/11/2020,887.12,880.9,892.68,879.36
18/11/2020,885.65,881.82,889.57,881.82
17/11/2020,881.81,879.6,888.24,876.84
16/11/2020,873.44,876.91,880.94,867.05
13/11/2020,867.2,863.57,869.31,859.24
12/11/2020,866.68,876.17,876.7,864.16
11/11/2020,880.02,869.41,880.85,867.37
10/11/2020,863.97,858.6,865.53,853.01
09/11/2020,840.51,845.54,848.48,830.78
06/11/2020,834.9,820.56,835.6,812.8
05/11/2020,816.16,795.71,816.48,794.34
04/11/2020,781.13,797.94,800.94,781.13
03/11/2020,794.77,793.01,795.09,789.51
02/11/2020,788.6,784.61,791.5,777.54
27/10/2020,790.5,791.09,797.6,787.79
26/10/2020,794.21,790.45,798.47,789.47
23/10/2020,789.82,794.15,794.36,786.02
22/10/2020,788.56,783.99,789.56,780.11
21/10/2020,787.2,790.95,793.79,785.23
20/10/2020,786.44,789.54,791.96,782.45
19/10/2020,790.45,787.58,790.45,782.14
16/10/2020,783.45,784.8,786.21,775.06
15/10/2020,782.88,795.35,796.74,782.52
14/10/2020,796.28,784.27,796.8,781.95
13/10/2020,783.55,777.31,783.97,769.28
12/10/2020,777.3,777.68,779.96,775.61
09/10/2020,771.77,769.82,773.13,767.65
08/10/2020,770.45,767.9,770.45,762.43
07/10/2020,764.09,758.44,766,755.79
06/10/2020,764.16,766.77,769.62,763.26
05/10/2020,755.09,756.02,758.29,748
02/10/2020,750.86,761.44,761.54,741.51
01/10/2020,761.05,745.17,761.05,744.96
30/09/2020,737.15,745.92,747.94,731.51
29/09/2020,742.38,756.1,759.28,739.37
28/09/2020,750,765.1,769.9,750
25/09/2020,760.32,745.61,761.24,740.56
24/09/2020,740,743.44,750.45,735.88
23/09/2020,754.18,759.6,765.73,745.09
22/09/2020,756.38,754.27,765.32,751.51
21/09/2020,767.97,780.17,781.99,765.25
18/09/2020,780.32,775.76,781.87,770.84
17/09/2020,775.54,781.37,788.31,770.66
16/09/2020,781.37,792.74,794.23,780.27
15/09/2020,790.75,807.21,809.77,788.09
14/09/2020,805.12,789.41,805.12,789.31
11/09/2020,778.32,730.92,780.53,727.91
10/09/2020,756.11,785.64,785.69,756.11
09/09/2020,804.35,818.47,818.47,802.59
08/09/2020,826.07,824.78,828.68,824.78
07/09/2020,823.99,824.78,826.92,816.16
04/09/2020,825.62,834.74,834.72,815.26
03/09/2020,834.74,843.17,846.82,827.95
02/09/2020,843.17,841.25,847.71,837.93
01/09/2020,841.25,824.19,841.25,820.19
31/08/2020,824.19,847.75,852.52,822.53
28/08/2020,847.75,852.66,854.73,843.26
27/08/2020,852.66,849.52,854.79,843.86
26/08/2020,849.52,850.99,853.41,845.8
25/08/2020,850.99,836.14,851.84,836.38
24/08/2020,836.14,834.84,839.33,830.33
19/08/2020,834.84,839.02,846.89,834.14
18/08/2020,839.02,827.22,843.73,826.55
14/08/2020,827.22,825.8,828.92,821.58
13/08/2020,825.8,825.22,835.01,821.16
12/08/2020,825.22,812.3,826.78,809.66
11/08/2020,812.3,806.9,816.43,806.95
10/08/2020,806.9,806.19,809.1,802.66
07/08/2020,806.19,811.59,812.67,799.91
06/08/2020,811.59,801.69,813.8,801.71
05/08/2020,801.69,789.9,802.43,786.06
04/08/2020,789.9,774.37,789.9,774.47
03/08/2020,774.37,803.01,804.86,760.47
30/07/2020,803.01,795.38,803.01,792.05
29/07/2020,795.38,799.68,800.38,793.46
28/07/2020,799.68,800.36,807.09,796.7
27/07/2020,800.36,791.14,800.36,790.44
24/07/2020,791.14,806.55,807.03,791.14
23/07/2020,806.55,799.72,811.28,799.83
22/07/2020,799.72,800.48,806.51,797.58
21/07/2020,800.48,785.83,806.63,784.96
20/07/2020,785.83,792.82,797.11,781.6
17/07/2020,792.82,797.85,799.79,792.82
16/07/2020,797.85,793.95,801.17,793.95
15/07/2020,793.95,795.33,804.06,793.5
14/07/2020,795.33,791.85,798.28,790.65
13/07/2020,791.85,784.56,794.28,782.56
10/07/2020,784.56,789.53,794.05,784.56
09/07/2020,789.53,796.59,804.1,789.24
08/07/2020,796.59,775.9,798.72,775.81
07/07/2020,775.9,775.3,781.59,774.74
06/07/2020,775.3,770.96,778.51,770.65
03/07/2020,770.96,769.82,775.48,769.14
02/07/2020,769.82,759.38,769.82,759.38
01/07/2020,759.38,756.2,760.78,753.49
30/06/2020,756.2,759.62,766.15,756.2
29/06/2020,759.62,760.3,762.34,751.94
26/06/2020,760.3,760.04,770.08,758.42
25/06/2020,760.04,771.91,771.91,757.02
24/06/2020,771.91,754.31,775.3,754.31
23/06/2020,754.31,761.21,762.59,752.54
22/06/2020,761.21,767.44,769.74,758.3
19/06/2020,767.44,761.98,772.67,761.98
18/06/2020,761.98,775.46,777.99,761.98
17/06/2020,775.46,776.03,782.61,770.85
16/06/2020,776.03,739.86,777.2,739.86
15/06/2020,739.86,752.11,760.47,738.27
12/06/2020,752.11,745.31,753.09,715.9
11/06/2020,745.31,758.95,762.28,736.34
10/06/2020,758.95,782.64,782.92,754.2
09/06/2020,782.64,795.29,808.98,782.64
08/06/2020,795.29,770.67,803.78,770.67
05/06/2020,770.67,764.61,772.83,748.23
04/06/2020,764.61,770.66,786.17,760.21
03/06/2020,770.66,749.52,772.07,748.19
02/06/2020,749.52,725.83,757.91,725.83
29/05/2020,725.83,709.36,725.83,706.18
28/05/2020,709.36,693.85,716.18,693.42
26/05/2020,689.33,672.14,691.49,671.2
20/05/2020,672.14,671.07,675.1,664.18
19/05/2020,671.07,660.47,683.7,660.47
18/05/2020,660.47,657.1,663.62,653.55
15/05/2020,657.1,661.52,667.61,648.65
14/05/2020,661.52,674.47,675.27,658.05
13/05/2020,674.47,681.67,681.67,666.94
12/05/2020,681.67,695.29,696.86,675.4
11/05/2020,695.29,686.23,697.94,686.23
08/05/2020,686.23,687.44,693.05,684.31
06/05/2020,687.44,690.96,694.56,684.4
05/05/2020,690.96,689.33,702.27,687.23
04/05/2020,689.33,713.64,713.64,682.11
30/04/2020,713.64,680.46,718,680.46
29/04/2020,680.46,671.17,681.33,669.63
28/04/2020,671.17,669.76,673.37,664.39
27/04/2020,669.76,663.7,674.04,660.79
24/04/2020,663.7,684.72,685,663.7
23/04/2020,684.72,682.4,695.34,682.4
22/04/2020,682.4,667.63,687.51,654.86
21/04/2020,667.63,682.84,682.84,665.47
20/04/2020,682.84,695.47,702.65,682.84
17/04/2020,695.47,662.69,697.18,662.69
16/04/2020,662.69,694.44,694.44,660.05
15/04/2020,694.44,712.26,721.26,690.38
14/04/2020,712.26,693.48,712.26,693.48
13/04/2020,693.48,700.06,701.95,686.98
09/04/2020,700.06,697.73,707.68,684.64
08/04/2020,697.73,729.74,730.18,689.93
07/04/2020,729.74,736.73,771.21,718.02
06/04/2020,736.73,702.42,736.73,702.42
03/04/2020,702.42,688.11,702.42,687.81
02/04/2020,688.11,678.3,688.11,660.57
01/04/2020,678.3,691.13,710.86,671.09
31/03/2020,691.13,670.77,703.4,670.77
30/03/2020,670.77,698.78,698.78,653.23
27/03/2020,698.78,651.41,730.23,651.41
26/03/2020,651.41,566.83,660.29,566.05
24/03/2020,566.83,583.41,614.93,566.34
23/03/2020,583.41,624.76,624.76,583
20/03/2020,624.76,612.12,642.34,573.57
19/03/2020,612.12,655.63,655.63,610.75
18/03/2020,655.63,683.66,689.47,647.15
17/03/2020,683.66,731.95,734.22,682.82
16/03/2020,731.95,777.27,776.52,729.63
13/03/2020,777.27,769.64,786.21,717.51
