Date,Price,Open,High,Low,LQ45_Vol
10/02/2021,953.03,954.1,957.39,947.65,3070000000
09/02/2021,950.33,962.91,972.27,948.38,3450000000
08/02/2021,957.56,964.24,966.93,956.44,3000000000
05/02/2021,953.58,957.31,958.06,944.91,2740000000
04/02/2021,949.3,949.66,964.15,942.84,2840000000
03/02/2021,940.86,951.24,956.38,940.03,3420000000
02/02/2021,938.71,960.59,961.45,934.39,3510000000
01/02/2021,947.3,910.46,950.49,885.93,5410000000
29/01/2021,911.98,949.05,959.37,907.11,3500000000
28/01/2021,940.52,950.29,966.19,935.33,3380000000
27/01/2021,963.14,970.64,972.08,943.22,4170000000
26/01/2021,966.88,986.83,990.25,965.24,3270000000
25/01/2021,987.95,994.77,994.96,965.46,3350000000
22/01/2021,991.58,1012.36,1013.94,989.08,3450000000
21/01/2021,1011.21,1026.32,1030.11,1008.35,3600000000
20/01/2021,1014.85,991.92,1017.19,988.41,4190000000
19/01/2021,989.05,1005.93,1009.04,982.99,3080000000
18/01/2021,998.26,986.53,1002.53,979.1,4070000000
15/01/2021,988.75,1006.9,1010.49,982.3,3930000000
14/01/2021,1002.38,1006.85,1010.29,997.16,4820000000
13/01/2021,1002.89,1008.15,1010.63,994.61,4040000000
12/01/2021,996.44,1003.74,1009.51,993.02,4430000000
11/01/2021,1001.02,984.33,1001.9,984,4040000000
08/01/2021,979.31,967.42,982.9,964.45,4120000000
07/01/2021,957.31,952.48,959.92,950.65,4360000000
06/01/2021,945.68,962.1,964.67,930.56,3060000000
05/01/2021,961.39,958.84,963.61,950.82,3650000000
04/01/2021,958.65,939.01,959.71,926.41,3470000000
30/12/2020,934.89,949.19,949.32,934.22,2640000000
29/12/2020,945.59,961.73,965.52,943.16,2740000000
28/12/2020,955.9,953.06,957.88,932.01,2990000000
23/12/2020,936.79,947.82,955.9,908.71,3820000000
22/12/2020,938.98,966.23,969.74,936.9,3920000000
21/12/2020,970.99,969.54,977.38,961.35,4160000000
18/12/2020,962.36,966.2,969.22,960.55,4440000000
17/12/2020,968.69,974.04,977.21,961.77,4450000000
16/12/2020,970.06,956.37,972.13,956.37,5750000000
15/12/2020,946.73,941.24,946.73,932.89,3780000000
14/12/2020,941.18,935.23,942.08,932.61,3320000000
11/12/2020,929.94,937.95,942.15,928.99,3200000000
10/12/2020,932.33,940.84,943.67,928.03,4320000000
08/12/2020,933.28,933.75,935.67,929.8,3750000000
07/12/2020,936.32,927.9,938.27,927.02,2840000000
04/12/2020,916.25,920.29,920.49,910.44,2310000000
03/12/2020,921.18,927.29,929.72,917.16,3310000000
02/12/2020,922.36,912.68,922.36,905.94,3730000000
01/12/2020,904.83,890.15,908.57,879.5,3460000000
30/11/2020,883.06,918.94,921.26,872.24,9810000000
27/11/2020,920.11,924.66,926.37,916.99,3350000000
26/11/2020,920.78,900.96,920.78,900.96,2800000000
25/11/2020,903.46,917.55,922.83,903.36,3410000000
24/11/2020,907.88,908.54,910.81,902.1,3100000000
23/11/2020,901.66,887.35,902.21,887.35,2740000000
20/11/2020,884.9,889.29,894.86,881.98,2420000000
19/11/2020,887.12,880.9,892.68,879.36,2910000000
18/11/2020,885.65,881.82,889.57,881.82,3410000000
17/11/2020,881.81,879.6,888.24,876.84,3570000000
16/11/2020,873.44,876.91,880.94,867.05,2480000000
13/11/2020,867.2,863.57,869.31,859.24,1900000000
12/11/2020,866.68,876.17,876.7,864.16,2190000000
11/11/2020,880.02,869.41,880.85,867.37,4890000000
10/11/2020,863.97,858.6,865.53,853.01,4550000000
09/11/2020,840.51,845.54,848.48,830.78,3420000000
06/11/2020,834.9,820.56,835.6,812.8,2780000000
05/11/2020,816.16,795.71,816.48,794.34,2580000000
04/11/2020,781.13,797.94,800.94,781.13,1960000000
03/11/2020,794.77,793.01,795.09,789.51,2090000000
02/11/2020,788.6,784.61,791.5,777.54,2360000000
27/10/2020,790.5,791.09,797.6,787.79,1930000000
26/10/2020,794.21,790.45,798.47,789.47,1940000000
23/10/2020,789.82,794.15,794.36,786.02,2360000000
22/10/2020,788.56,783.99,789.56,780.11,2330000000
21/10/2020,787.2,790.95,793.79,785.23,2780000000
20/10/2020,786.44,789.54,791.96,782.45,2340000000
19/10/2020,790.45,787.58,790.45,782.14,2910000000
16/10/2020,783.45,784.8,786.21,775.06,1920000000
15/10/2020,782.88,795.35,796.74,782.52,3170000000
14/10/2020,796.28,784.27,796.8,781.95,3380000000
13/10/2020,783.55,777.31,783.97,769.28,1960000000
12/10/2020,777.3,777.68,779.96,775.61,1840000000
09/10/2020,771.77,769.82,773.13,767.65,1450000000
08/10/2020,770.45,767.9,770.45,762.43,1590000000
07/10/2020,764.09,758.44,766,755.79,1420000000
06/10/2020,764.16,766.77,769.62,763.26,1550000000
05/10/2020,755.09,756.02,758.29,748,1000000000
02/10/2020,750.86,761.44,761.54,741.51,1560000000
01/10/2020,761.05,745.17,761.05,744.96,1450000000
30/09/2020,737.15,745.92,747.94,731.51,1470000000
29/09/2020,742.38,756.1,759.28,739.37,1440000000
28/09/2020,750,765.1,769.9,750,1450000000
25/09/2020,760.32,745.61,761.24,740.56,1600000000
24/09/2020,740,743.44,750.45,735.88,1450000000
23/09/2020,754.18,759.6,765.73,745.09,1500000000
22/09/2020,756.38,754.27,765.32,751.51,1440000000
21/09/2020,767.97,780.17,781.99,765.25,1590000000
18/09/2020,780.32,775.76,781.87,770.84,2820000000
17/09/2020,775.54,781.37,788.31,770.66,1330000000
16/09/2020,781.37,792.74,794.23,780.27,1250000000
15/09/2020,790.75,807.21,809.77,788.09,1750000000
14/09/2020,805.12,789.41,805.12,789.31,2220000000
11/09/2020,778.32,730.92,780.53,727.91,3450000000
10/09/2020,756.11,785.64,785.69,756.11,2770000000
09/09/2020,804.35,818.47,818.47,802.59,1950000000
08/09/2020,826.07,824.78,828.68,824.78,1270000000
