Date,Price,Open,High,Low,LQ45_Vol,Change %
08/03/2021,940.23,952.44,953.88,939.03,1.85B,-0.12%
05/03/2021,941.36,940.98,949.09,938.07,2.39B,-0.75%
04/03/2021,948.47,963.29,963.64,946.57,2.31B,-2.04%
03/03/2021,968.22,972.81,973.3,960.56,1.69B,0.06%
02/03/2021,967.66,974.94,977.18,965,2.34B,-0.01%
01/03/2021,967.72,955.63,967.72,950.55,2.71B,2.43%
26/02/2021,944.75,940.47,952.73,936.1,4.34B,-0.82%
25/02/2021,952.54,958.9,961.22,949.56,2.20B,0.19%
24/02/2021,950.72,962.24,965.53,949.92,2.43B,-0.89%
23/02/2021,959.21,954.11,961.26,950.69,2.46B,0.84%
22/02/2021,951.24,960.22,963.08,951.24,3.04B,-0.06%
19/02/2021,951.85,939.21,951.85,939.01,2.18B,1.19%
18/02/2021,940.68,947.91,956.94,940.68,2.29B,-0.63%
17/02/2021,946.67,960.51,961.57,943.88,2.41B,-1.38%
16/02/2021,959.89,964,965.14,957.04,2.06B,0.06%
15/02/2021,959.32,960.22,966.41,957.2,2.19B,0.60%
11/02/2021,953.56,958.29,959.22,950.24,1.92B,0.06%
10/02/2021,953.03,954.1,957.39,947.65,3.07B,0.28%
09/02/2021,950.33,962.91,972.27,948.38,3.45B,-0.75%
08/02/2021,957.56,964.24,966.93,956.44,3.00B,0.42%
05/02/2021,953.58,957.31,958.06,944.91,2.74B,0.45%
04/02/2021,949.3,949.66,964.15,942.84,2.84B,0.90%
03/02/2021,940.86,951.24,956.38,940.03,3.42B,0.23%
02/02/2021,938.71,960.59,961.45,934.39,3.51B,-0.91%
01/02/2021,947.3,910.46,950.49,885.93,5.41B,3.87%
29/01/2021,911.98,949.05,959.37,907.11,3.50B,-3.03%
28/01/2021,940.52,950.29,966.19,935.33,3.38B,-2.35%
27/01/2021,963.14,970.64,972.08,943.22,4.17B,-0.39%
26/01/2021,966.88,986.83,990.25,965.24,3.27B,-2.13%
25/01/2021,987.95,994.77,994.96,965.46,3.35B,-0.37%
22/01/2021,991.58,1012.36,1013.94,989.08,3.45B,-1.94%
21/01/2021,1011.21,1026.32,1030.11,1008.35,3.60B,-0.36%
20/01/2021,1014.85,991.92,1017.19,988.41,4.19B,2.61%
19/01/2021,989.05,1005.93,1009.04,982.99,3.08B,-0.92%
18/01/2021,998.26,986.53,1002.53,979.1,4.07B,0.96%
15/01/2021,988.75,1006.9,1010.49,982.3,3.93B,-1.36%
14/01/2021,1002.38,1006.85,1010.29,997.16,4.82B,-0.05%
13/01/2021,1002.89,1008.15,1010.63,994.61,4.04B,0.65%
12/01/2021,996.44,1003.74,1009.51,993.02,4.43B,-0.46%
11/01/2021,1001.02,984.33,1001.9,984,4.04B,2.22%
08/01/2021,979.31,967.42,982.9,964.45,4.12B,2.30%
07/01/2021,957.31,952.48,959.92,950.65,4.36B,1.23%
06/01/2021,945.68,962.1,964.67,930.56,3.06B,-1.63%
05/01/2021,961.39,958.84,963.61,950.82,3.65B,0.29%
04/01/2021,958.65,939.01,959.71,926.41,3.47B,2.54%
30/12/2020,934.89,949.19,949.32,934.22,2.64B,-1.13%
29/12/2020,945.59,961.73,965.52,943.16,2.74B,-1.08%
28/12/2020,955.9,953.06,957.88,932.01,2.99B,2.04%
23/12/2020,936.79,947.82,955.9,908.71,3.82B,-0.23%
22/12/2020,938.98,966.23,969.74,936.9,3.92B,-3.30%
21/12/2020,970.99,969.54,977.38,961.35,4.16B,0.90%
18/12/2020,962.36,966.2,969.22,960.55,4.44B,-0.65%
17/12/2020,968.69,974.04,977.21,961.77,4.45B,-0.14%
16/12/2020,970.06,956.37,972.13,956.37,5.75B,2.47%
15/12/2020,946.73,941.24,946.73,932.89,3.78B,0.59%
14/12/2020,941.18,935.23,942.08,932.61,3.32B,1.21%
11/12/2020,929.94,937.95,942.15,928.99,3.20B,-0.26%
10/12/2020,932.33,940.84,943.67,928.03,4.32B,-0.10%
08/12/2020,933.28,933.75,935.67,929.8,3.75B,-0.32%
07/12/2020,936.32,927.9,938.27,927.02,2.84B,2.19%
04/12/2020,916.25,920.29,920.49,910.44,2.31B,-0.53%
03/12/2020,921.18,927.29,929.72,917.16,3.31B,-0.13%
02/12/2020,922.36,912.68,922.36,905.94,3.73B,1.94%
01/12/2020,904.83,890.15,908.57,879.5,3.46B,2.47%
30/11/2020,883.06,918.94,921.26,872.24,9.81B,-4.03%
27/11/2020,920.11,924.66,926.37,916.99,3.35B,-0.07%
26/11/2020,920.78,900.96,920.78,900.96,2.80B,1.92%
25/11/2020,903.46,917.55,922.83,903.36,3.41B,-0.49%
24/11/2020,907.88,908.54,910.81,902.1,3.10B,0.69%
23/11/2020,901.66,887.35,902.21,887.35,2.74B,1.89%
20/11/2020,884.9,889.29,894.86,881.98,2.42B,-0.25%
19/11/2020,887.12,880.9,892.68,879.36,2.91B,0.17%
18/11/2020,885.65,881.82,889.57,881.82,3.41B,0.44%
17/11/2020,881.81,879.6,888.24,876.84,3.57B,0.96%
16/11/2020,873.44,876.91,880.94,867.05,2.48B,0.72%
