Date,Price,Open,High,Low
04/12/2020,369.85,367.32,369.85,367.22
03/12/2020,366.69,366.68,368.19,365.5
02/12/2020,366.79,364.82,366.96,364.2
01/12/2020,366.02,365.57,367.68,364.93
30/11/2020,362.06,362.83,363.12,359.17
27/11/2020,363.67,363.84,364.18,362.58
25/11/2020,362.66,363.13,363.16,361.48
24/11/2020,363.22,360.21,363.81,359.29
23/11/2020,357.46,357.28,358.82,354.86
20/11/2020,355.33,357.5,357.72,355.25
19/11/2020,357.78,355.6,358.18,354.15
18/11/2020,356.28,360.91,361.5,356.24
17/11/2020,360.62,359.97,361.92,358.34
16/11/2020,362.57,360.98,362.78,359.59
13/11/2020,358.1,355.27,358.9,354.71
12/11/2020,353.21,355.58,356.72,351.26
11/11/2020,356.67,356.4,357.56,355.06
10/11/2020,354.04,353.49,355.18,350.51
09/11/2020,354.56,363.97,364.38,354.06
06/11/2020,350.16,349.93,351.51,347.65
05/11/2020,350.24,349.24,352.19,348.86
04/11/2020,343.54,340.86,347.94,339.59
03/11/2020,336.03,333.69,338.25,330.29
02/11/2020,330.2,330.2,332.36,327.24
30/10/2020,326.54,328.28,329.69,322.6
29/10/2020,329.98,326.91,333.39,325.09
28/10/2020,326.66,332.1,338.25,326.13
27/10/2020,338.22,339.76,340.12,337.99
26/10/2020,339.39,342.13,342.98,335.62
23/10/2020,345.78,345.93,345.99,343.13
22/10/2020,344.61,342.96,345.24,340.65
21/10/2020,342.73,343.33,348.68,342.4
20/10/2020,343.38,343.46,346.88,342.64
19/10/2020,342.01,348.65,349.33,341.04
16/10/2020,347.29,348.96,350.75,347.1
15/10/2020,347.5,343.54,348.01,343.54
14/10/2020,347.93,350.72,351.91,347.16
13/10/2020,350.13,352.34,352.34,349.1
12/10/2020,352.43,349.53,354.01,349.08
11/10/2020,346.85,346.85,346.85,346.85
09/10/2020,346.85,345.56,347.35,344.89
08/10/2020,343.78,342.84,343.84,341.89
07/10/2020,340.76,338.11,341.6,338.11
06/10/2020,334.93,339.91,342.17,334.38
05/10/2020,339.76,336.27,339.94,336.17
04/10/2020,333.84,333.84,333.84,333.84
03/10/2020,333.84,333.84,333.84,333.84
02/10/2020,333.84,331.25,335.9,331.2
01/10/2020,337.04,337.63,338.68,335.05
30/09/2020,334.89,333.2,338.28,332.9
29/09/2020,332.37,333.87,334.73,331.63
28/09/2020,334.19,333.38,334.89,332.17
27/09/2020,328.73,328.73,328.73,328.73
26/09/2020,328.73,328.73,328.73,328.73
25/09/2020,328.73,322.63,329.56,321.68
24/09/2020,323.5,321.08,326.75,319.82
23/09/2020,322.64,330.86,331.16,322.1
22/09/2020,330.3,328.45,330.89,325.9
21/09/2020,326.97,325.61,326.98,321.73
18/09/2020,330.65,335.37,335.49,327.97
17/09/2020,335.84,333.55,337.66,333.01
16/09/2020,338.82,341.66,343.03,338.59
15/09/2020,340.17,341.26,342,339.02
14/09/2020,338.46,337.55,340.36,336.95
13/09/2020,334.06,334.06,334.06,334.06
11/09/2020,334.06,335.82,336.97,331
10/09/2020,333.89,341.74,342.51,332.92
09/09/2020,339.79,337.62,342.45,336.66
08/09/2020,333.21,336.12,337.98,332.88
04/09/2020,342.57,346.13,347.83,334.87
03/09/2020,345.39,355.87,356.35,342.62
02/09/2020,357.7,354.51,358.66,353.45
01/09/2020,352.6,350.22,352.64,349.26
31/08/2020,349.31,350.29,351.26,349.11
30/08/2020,350.58,350.58,350.58,350.58
28/08/2020,350.58,349.44,350.72,348.15
27/08/2020,348.33,348.36,349.89,346.54
26/08/2020,347.57,344.73,347.85,344.17
25/08/2020,344.12,343.53,344.14,342.27
24/08/2020,342.92,342.12,342.96,341.1
23/08/2020,339.48,339.48,339.48,339.48
22/08/2020,339.48,339.48,339.48,339.48
21/08/2020,339.48,337.99,339.67,337.57
20/08/2020,338.28,335.38,338.77,335.25
19/08/2020,337.23,339.07,339.6,336.64
18/08/2020,338.64,338.36,339.09,336.64
17/08/2020,337.91,337.92,338.34,337.5
14/08/2020,336.84,336.41,337.42,335.62
13/08/2020,336.83,337.02,338.25,335.85
12/08/2020,337.44,335.56,338.28,335.56
11/08/2020,332.8,336.95,337.52,332.05
10/08/2020,335.57,335.05,335.76,332.98
09/08/2020,334.57,334.57,334.57,334.57
08/08/2020,334.57,334.57,334.57,334.57
07/08/2020,334.57,333.28,334.68,332.3
06/08/2020,334.33,331.47,334.46,331.15
05/08/2020,332.11,331.47,332.39,331.19
04/08/2020,330.06,328.06,330.06,327.96
03/08/2020,328.79,328.36,329.61,327.74
02/08/2020,326.52,326.52,326.52,326.52
31/07/2020,326.52,325.9,326.63,321.33
30/07/2020,323.96,321.8,324.4,319.69
29/07/2020,325.12,322.12,325.73,322.08
28/07/2020,321.17,323.22,323.64,320.87
27/07/2020,323.22,321.45,323.39,320.8
26/07/2020,320.88,320.88,320.88,320.88
25/07/2020,320.88,320.88,320.88,320.88
24/07/2020,320.88,320.73,321.99,319.28
23/07/2020,322.96,326.42,327.22,321.52
22/07/2020,326.86,325.01,327.12,324.55
21/07/2020,325.01,326.32,326.91,323.97
20/07/2020,324.32,321.36,325,320.81
17/07/2020,321.72,321.88,322.57,319.73
16/07/2020,320.79,319.75,321.26,319.09
15/07/2020,321.85,322.61,323.01,319.29
14/07/2020,318.92,313.29,319.28,312.05
13/07/2020,314.84,320.24,322.69,314.19
12/07/2020,317.59,317.59,317.59,317.59
11/07/2020,317.59,317.59,317.59,317.59
10/07/2020,317.59,314.4,317.85,312.81
09/07/2020,314.38,316.87,317.09,310.73
08/07/2020,316.18,314.62,316.27,312.7
07/07/2020,313.78,315.38,317.52,313.37
06/07/2020,317.05,316.4,317.24,315.59
05/07/2020,312.23,312.23,312.23,312.23
04/07/2020,312.23,312.23,312.23,312.23
02/07/2020,312.23,314.29,315.59,311.53
01/07/2020,310.52,309.53,311.86,309.1
30/06/2020,308.36,303.95,310.16,303.85
29/06/2020,304.46,301.41,304.46,299.04
26/06/2020,300.05,306.16,306.39,299.42
25/06/2020,307.35,303.28,307.61,301.34
24/06/2020,304.09,309.78,310.48,302.13
23/06/2020,312.05,313.42,314.46,311.62
22/06/2020,310.62,307.95,311.04,306.81
19/06/2020,308.64,314.17,314.38,306.53
18/06/2020,311.78,309.93,312.27,309.61
17/06/2020,311.66,314.04,314.37,311.04
16/06/2020,312.96,315.34,315.61,307.93
15/06/2020,307.05,298.03,308.23,296.77
12/06/2020,304.21,308.24,309.08,298.6
11/06/2020,300.61,310.95,312.03,300.04
10/06/2020,319,321.53,322.38,318.25
09/06/2020,320.79,320.3,322.36,319.38
08/06/2020,323.2,320.22,323.27,319.63
07/06/2020,319.34,319.34,319.34,319.34
05/06/2020,319.34,317.23,321.27,317.16
04/06/2020,311.36,311.06,313,309.1
03/06/2020,312.18,310.33,313.16,309.96
02/06/2020,308.08,306.54,308.1,305.14
01/06/2020,305.55,303.6,306.2,303.07
29/05/2020,304.32,302.46,304.96,299.47
28/05/2020,302.97,304.76,306.8,302.29
27/05/2020,303.53,302.08,303.53,296.9
26/05/2020,299.08,302.18,302.18,298.73
22/05/2020,295.44,294.57,295.63,293.22
21/05/2020,294.88,296.71,297.67,293.7
20/05/2020,296.93,295.86,297.86,295.59
19/05/2020,291.97,294.32,296.19,291.97
18/05/2020,295,292.87,296.6,292.75
15/05/2020,286.28,282.38,286.28,281.38
14/05/2020,284.97,278.79,285.03,276.39
13/05/2020,281.6,286.02,287.17,279
12/05/2020,286.67,293.79,294.24,286.52
11/05/2020,292.5,290.34,294,289.88
08/05/2020,292.44,291.09,292.95,289.86
07/05/2020,287.68,287.75,289.78,287.13
06/05/2020,284.25,288.04,288.46,283.78
05/05/2020,286.19,286.64,289.25,283.71
04/05/2020,283.57,280.74,283.9,279.13
03/05/2020,282.79,282.79,282.79,282.79
02/05/2020,282.79,282.79,282.79,282.79
01/05/2020,282.79,285.31,290.66,281.52
30/04/2020,290.48,291.71,293.32,288.59
29/04/2020,293.21,291.53,294.88,290.41
28/04/2020,285.73,291.02,291.4,285.4
27/04/2020,287.05,285.12,288.27,284.62
24/04/2020,282.97,280.73,283.7,278.5
23/04/2020,279.08,280.49,283.94,278.75
22/04/2020,279.1,278.35,281,276.91
21/04/2020,273.04,276.73,278.04,272.02
20/04/2020,281.59,282.61,286.79,281.35
17/04/2020,286.64,285.38,287.3,282.4
16/04/2020,279.1,279.15,280.03,275.76
15/04/2020,277.76,277.57,283.94,275.46
14/04/2020,283.79,280.98,284.9,275.51
13/04/2020,275.66,277.14,277.51,271.41
09/04/2020,278.2,277.58,281.2,275.47
08/04/2020,274.03,267.96,276,265.25
07/04/2020,265.13,274.21,275.03,264.89
06/04/2020,264.86,257.84,267,248.17
03/04/2020,248.19,250.76,253.32,245.22
02/04/2020,251.83,245.19,252.68,244.59
01/04/2020,246.15,247.98,257.66,243.9
31/03/2020,257.75,260.56,263.33,256.22
30/03/2020,261.65,255.7,262.43,253.53
28/03/2020,253.42,253.42,253.42,253.42
27/03/2020,253.42,253.27,260.81,251.05
26/03/2020,261.2,249.52,262.8,249.05
25/03/2020,246.79,244.87,256.35,239.75
24/03/2020,243.15,234.42,244.1,233.8
23/03/2020,222.95,228.19,229.68,218.26
21/03/2020,228.8,228.8,228.8,228.8
20/03/2020,228.8,242.53,244.47,228.5
19/03/2020,240.51,239.25,247.38,232.22
18/03/2020,240,236.25,248.37,228.02
17/03/2020,252.8,245.04,256.17,237.07
16/03/2020,239.85,241.18,256.9,237.36
14/03/2020,269.32,269.32,269.32,269.32
13/03/2020,269.32,263.09,271.48,248.52
12/03/2020,248.11,256,266.66,247.68
11/03/2020,274.36,280.7,281.94,270.88
10/03/2020,288.42,284.64,288.52,273.5
09/03/2020,274.23,275.3,284.19,273.45
06/03/2020,297.46,293.15,298.78,290.23
05/03/2020,302.46,304.98,308.47,300.01
04/03/2020,312.86,306.12,313.1,303.33
03/03/2020,300.24,309.5,313.84,297.57
02/03/2020,309.09,298.21,309.16,294.46
28/02/2020,296.26,288.7,297.89,285.54
27/02/2020,297.51,305.46,311.56,297.51
26/02/2020,311.5,314.18,318.11,310.7
25/02/2020,312.65,323.94,324.61,311.69
24/02/2020,322.42,323.14,333.56,321.24
21/02/2020,333.48,335.47,335.81,332.58
20/02/2020,336.95,337.74,338.64,333.68
19/02/2020,338.34,337.79,339.08,337.48
18/02/2020,336.73,336.51,337.67,335.21
17/02/2020,337.6,337.6,337.6,337.6
14/02/2020,337.6,337.51,337.73,336.2
13/02/2020,337.06,335.86,338.12,335.56
12/02/2020,337.42,336.83,337.65,336.43
11/02/2020,335.26,336.16,337.02,334.68
10/02/2020,334.68,331.23,334.75,331.19
07/02/2020,332.2,332.82,333.99,331.6
06/02/2020,333.98,333.91,334.19,332.8
05/02/2020,332.86,332.27,333.09,330.67
04/02/2020,329.06,328.07,330.01,327.72
03/02/2020,324.12,323.35,326.16,323.22
31/01/2020,321.73,327,327.17,320.73
30/01/2020,327.68,324.36,327.91,323.54
29/01/2020,326.62,328.38,328.63,326.4
28/01/2020,326.89,325.06,327.85,323.6
27/01/2020,323.5,323.03,325.12,322.66
24/01/2020,328.77,332.44,332.53,327.36
23/01/2020,331.72,330.63,332.17,329.41
22/01/2020,331.34,332.24,332.95,331.17
21/01/2020,331.3,330.9,332.18,330.82
17/01/2020,331.95,331.7,332.18,330.85
16/01/2020,330.92,329.7,330.92,329.45
15/01/2020,328.19,327.35,329.02,327.26
14/01/2020,327.45,327.47,328.62,326.84
13/01/2020,327.95,326.39,327.96,325.92
10/01/2020,325.71,327.29,327.46,325.2
09/01/2020,326.65,326.16,326.73,325.52
08/01/2020,324.45,322.94,325.78,322.67
07/01/2020,322.73,323.02,323.54,322.24
06/01/2020,323.64,320.49,323.73,320.36
03/01/2020,322.41,321.16,323.64,321.1
02/01/2020,324.87,323.54,324.89,322.53
31/12/2019,321.86,320.53,322.13,320.15
30/12/2019,321.08,322.95,323.1,320.55
27/12/2019,322.86,323.74,323.8,322.28
26/12/2019,322.94,321.65,322.95,321.64
24/12/2019,321.23,321.47,321.52,320.9
23/12/2019,321.22,321.59,321.65,321.06
20/12/2019,320.73,320.46,321.97,319.39
19/12/2019,320.9,319.8,320.98,319.52
18/12/2019,319.59,320,320.25,319.53
17/12/2019,319.57,319.92,320.25,319.48
16/12/2019,319.5,319.22,320.15,317.25
13/12/2019,317.32,316.87,318.67,316.02
12/12/2019,317.13,314.43,317.99,314.17
11/12/2019,314.42,314.03,314.7,313.44
10/12/2019,313.53,313.82,314.55,312.81
09/12/2019,313.88,314.44,315.18,313.8
06/12/2019,314.87,314.12,315.31,314.11
05/12/2019,312.02,312.23,312.25,310.58
04/12/2019,311.46,310.7,312.12,310.32
03/12/2019,309.55,308.65,309.64,307.13
02/12/2019,311.64,314.59,314.66,311.17
29/11/2019,314.31,314.86,315.13,314.06
27/11/2019,315.48,314.61,315.48,314.37
26/11/2019,314.08,313.41,314.28,313.06
25/11/2019,313.37,311.98,313.37,311.98
22/11/2019,310.96,311.09,311.24,309.85
21/11/2019,310.27,310.89,311.01,309.39
20/11/2019,310.77,311.28,311.85,309.06
19/11/2019,311.93,312.68,312.69,311.22
18/11/2019,312.02,311.53,312.28,311.03
15/11/2019,311.79,311.02,311.84,310.26
14/11/2019,309.55,308.79,309.64,308.09
13/11/2019,309.1,307.91,309.54,307.66
12/11/2019,309,308.75,309.99,308.15
11/11/2019,308.35,307.42,308.54,307.27
08/11/2019,308.94,307.8,309,307.03
07/11/2019,308.18,308.57,309.65,307.66
06/11/2019,307.1,307.03,307.4,306.06
05/11/2019,307.03,307.59,307.92,306.71
04/11/2019,307.37,307.85,308,306.96
01/11/2019,306.14,304.92,306.19,304.74
31/10/2019,303.33,304.13,304.13,301.73
30/10/2019,304.14,303.43,304.55,301.99
29/10/2019,303.21,303,304.23,302.86
28/10/2019,303.3,302.94,303.85,302.91
25/10/2019,301.6,299.74,302.2,299.68
24/10/2019,300.37,300.91,301.07,299.46
23/10/2019,299.88,298.73,299.94,298.5
22/10/2019,299.01,300.58,300.9,298.91
21/10/2019,299.99,299.42,300.21,298.94
18/10/2019,297.97,298.69,299.39,296.99
17/10/2019,299.28,299.68,300.24,298.51
16/10/2019,298.4,298.37,299.16,297.92
15/10/2019,298.88,297.1,299.7,296.97
14/10/2019,295.95,295.93,296.67,295.57
11/10/2019,296.28,296.27,298.74,296.14
10/10/2019,293.24,291.18,294.21,291
09/10/2019,291.27,290.75,292.3,288.66
08/10/2019,288.53,291.04,291.85,288.49
07/10/2019,293.08,293.47,295.26,292.77
04/10/2019,294.35,291.14,294.63,290.82
03/10/2019,290.42,287.81,290.45,284.82
02/10/2019,288.06,291.5,291.51,286.64
01/10/2019,293.24,297.74,298.45,293
30/09/2019,296.77,295.97,297.55,295.92
27/09/2019,295.4,297.83,297.95,293.69
26/09/2019,297,297.63,297.86,295.45
25/09/2019,297.62,295.96,298.11,294.33
24/09/2019,295.87,299.41,299.84,294.81
23/09/2019,298.21,297.55,299,297.27
20/09/2019,298.28,300.36,300.67,297.41
19/09/2019,301.08,301.53,302.63,300.71
18/09/2019,301.1,300.49,301.22,298.24
17/09/2019,300.92,299.94,301.02,299.75
16/09/2019,300.16,299.84,301.14,299.45
13/09/2019,301.09,301.78,302.17,300.68
12/09/2019,301.29,301.25,302.46,300.41
11/09/2019,300.25,298.47,300.34,297.75
10/09/2019,298.13,297.36,298.2,295.97
09/09/2019,298.2,299.14,299.24,297.16
06/09/2019,298.05,298.17,298.76,297.42
05/09/2019,297.82,296.79,298.83,294
