Date,Price,Open,High,Low,SPY_Vol
10/02/2021,390.08,392.12,392.28,387.5,58530000
09/02/2021,390.25,389.61,390.89,389.17,34850000
08/02/2021,390.51,389.27,390.56,388.35,37530000
05/02/2021,387.71,388.2,388.47,386.14,48670000
04/02/2021,386.19,382.96,386.24,381.97,46440000
03/02/2021,381.85,382.43,383.7,380.48,50830000
02/02/2021,381.55,379.65,383.22,376.32,63260000
01/02/2021,376.23,373.72,377.34,370.38,74870000
29/01/2021,370.07,375.63,376.67,368.27,126770000
28/01/2021,377.63,376.36,381.93,375.89,91820000
27/01/2021,374.41,380.22,380.32,372.01,120350000
26/01/2021,383.79,385.41,385.85,383.54,41440000
25/01/2021,384.39,383.67,384.77,378.46,69880000
22/01/2021,382.88,382.25,384.13,381.83,52140000
21/01/2021,384.24,384.49,384.95,383.25,47200000
20/01/2021,383.89,381.11,384.79,380.69,61030000
19/01/2021,378.65,378.34,379.23,376.75,50790000
15/01/2021,375.7,376.72,377.58,373.7,107160000
14/01/2021,378.46,380.59,381.13,378.1,48690000
13/01/2021,379.79,378.69,380.86,377.85,44550000
12/01/2021,378.77,378.89,379.86,376.36,51680000
11/01/2021,378.69,377.85,380.58,377.72,50680000
08/01/2021,381.26,380.59,381.49,377.1,71680000
07/01/2021,379.1,376.1,379.9,375.91,66750000
06/01/2021,373.55,369.71,376.98,369.12,102120000
05/01/2021,371.33,368.1,372.5,368.05,65330000
04/01/2021,368.79,375.31,375.45,364.82,106390000
31/12/2020,373.88,371.78,374.66,371.23,78520000
30/12/2020,371.99,372.34,373.1,371.57,49140000
29/12/2020,371.46,373.81,374,370.83,53130000
28/12/2020,372.17,371.74,372.59,371.07,38680000
24/12/2020,369,368.08,369.03,367.45,26460000
23/12/2020,367.57,368.28,369.62,367.22,44580000
22/12/2020,367.24,368.21,368.33,366.03,46470000
21/12/2020,367.86,364.97,378.46,362.03,92560000
18/12/2020,369.18,370.97,371.15,367.02,136540000
17/12/2020,372.24,371.94,372.46,371.05,62660000
16/12/2020,370.17,369.82,371.16,368.87,57280000
15/12/2020,369.59,367.4,369.59,365.92,63220000
14/12/2020,364.66,368.64,369.8,364.47,68260000
11/12/2020,366.3,364.9,366.74,363.26,57700000
10/12/2020,366.73,365.37,367.86,364.43,55620000
09/12/2020,366.85,370.88,371.05,365.95,72000000
08/12/2020,370.17,367.72,370.78,367.67,41620000
07/12/2020,369.09,369.02,369.62,367.72,46970000
04/12/2020,369.85,367.32,369.85,367.22,50750000
03/12/2020,366.69,366.68,368.19,365.5,62100000
02/12/2020,366.79,364.82,366.96,364.2,43710000
01/12/2020,366.02,365.57,367.68,364.93,73070000
30/11/2020,362.06,362.83,363.12,359.17,80850000
27/11/2020,363.67,363.84,364.18,362.58,28510000
25/11/2020,362.66,363.13,363.16,361.48,45330000
24/11/2020,363.22,360.21,363.81,359.29,61290000
23/11/2020,357.46,357.28,358.82,354.86,61330000
20/11/2020,355.33,357.5,357.72,355.25,70410000
19/11/2020,357.78,355.6,358.18,354.15,58030000
18/11/2020,356.28,360.91,361.5,356.24,67240000
17/11/2020,360.62,359.97,361.92,358.34,65160000
16/11/2020,362.57,360.98,362.78,359.59,73450000
13/11/2020,358.1,355.27,358.9,354.71,62960000
12/11/2020,353.21,355.58,356.72,351.26,66630000
11/11/2020,356.67,356.4,357.56,355.06,57810000
10/11/2020,354.04,353.49,355.18,350.51,83910000
09/11/2020,354.56,363.97,364.38,354.06,170080000
06/11/2020,350.16,349.93,351.51,347.65,74970000
05/11/2020,350.24,349.24,352.19,348.86,80780000
04/11/2020,343.54,340.86,347.94,339.59,125930000
03/11/2020,336.03,333.69,338.25,330.29,89720000
02/11/2020,330.2,330.2,332.36,327.24,86070000
30/10/2020,326.54,328.28,329.69,322.6,120450000
29/10/2020,329.98,326.91,333.39,325.09,89170000
28/10/2020,326.66,332.1,338.25,326.13,125700000
27/10/2020,338.22,339.76,340.12,337.99,64330000
26/10/2020,339.39,342.13,342.98,335.62,89710000
23/10/2020,345.78,345.93,345.99,343.13,49140000
22/10/2020,344.61,342.96,345.24,340.65,54890000
21/10/2020,342.73,343.33,348.68,342.4,62460000
20/10/2020,343.38,343.46,346.88,342.64,59390000
19/10/2020,342.01,348.65,349.33,341.04,67260000
16/10/2020,347.29,348.96,350.75,347.1,89500000
15/10/2020,347.5,343.54,348.01,343.54,60360000
14/10/2020,347.93,350.72,351.91,347.16,57960000
13/10/2020,350.13,352.34,352.34,349.1,73260000
12/10/2020,352.43,349.53,354.01,349.08,80390000
09/10/2020,346.85,345.56,347.35,344.89,59530000
08/10/2020,343.78,342.84,343.84,341.89,45240000
07/10/2020,340.76,338.11,341.6,338.11,57000000
06/10/2020,334.93,339.91,342.17,334.38,90130000
05/10/2020,339.76,336.27,339.94,336.17,45710000
02/10/2020,333.84,331.25,335.9,331.2,89430000
01/10/2020,337.04,337.63,338.68,335.05,88700000
30/09/2020,334.89,333.2,338.28,332.9,104080000
29/09/2020,332.37,333.87,334.73,331.63,51530000
28/09/2020,334.19,333.38,334.89,332.17,64580000
25/09/2020,328.73,322.63,329.56,321.68,71070000
24/09/2020,323.5,321.08,326.75,319.82,76680000
23/09/2020,322.64,330.86,331.16,322.1,93110000
22/09/2020,330.3,328.45,330.89,325.9,63610000
21/09/2020,326.97,325.61,326.98,321.73,99450000
18/09/2020,330.65,335.37,335.49,327.97,105880000
17/09/2020,335.84,333.55,337.66,333.01,91520000
16/09/2020,338.82,341.66,343.03,338.59,82210000
