Date,Price,Open,High,Low
10/12/2020,14105.00,14095.00,14120.00,14095.00
08/12/2020,14080.00,14110.00,14150.00,14110.00
07/12/2020,14080.00,14110.00,14135.00,14101.00
04/12/2020,14085.00,14135.00,14162.50,14102.50
03/12/2020,14100.00,14120.00,14179.00,14120.00
02/12/2020,14090.00,14120.00,14156.00,14120.00
01/12/2020,14100.00,14117.50,14182.50,14117.50
30/11/2020,14090.00,14070.00,14150.00,14070.00
27/11/2020,14070.00,14105.00,14136.50,14090.00
26/11/2020,14090.00,14125.00,14137.50,14100.00
25/11/2020,14130.00,14145.00,14177.50,14140.00
24/11/2020,14140.00,14150.00,14194.50,14150.00
23/11/2020,14130.00,14162.50,14175.00,14142.50
20/11/2020,14150.00,14160.00,14210.50,14160.00
19/11/2020,14140.00,14055.00,14195.00,14055.00
18/11/2020,14050.00,14055.00,14102.50,14055.00
17/11/2020,14030.00,14030.00,14077.50,14027.50
16/11/2020,14100.00,14120.00,14147.50,14107.50
13/11/2020,14150.00,14150.00,14232.50,14150.00
12/11/2020,14140.00,14080.00,14207.50,14080.00
11/11/2020,14070.00,14055.00,14102.50,14055.00
10/11/2020,14040.00,14050.00,14082.50,13992.50
09/11/2020,14050.00,14170.00,14180.00,14042.50
06/11/2020,14190.00,14255.00,14302.50,14200.00
05/11/2020,14370.00,14385.00,14440.00,14370.00
04/11/2020,14540.00,14515.00,14567.50,14512.50
03/11/2020,14570.00,14612.50,14635.00,14584.00
02/11/2020,14625.00,14650.00,14717.50,14637.50
27/10/2020,14620.00,14650.00,14680.00,14620.00
26/10/2020,14630.00,14635.00,14675.00,14632.50
23/10/2020,14650.00,14660.00,14722.50,14650.00
22/10/2020,14640.00,14615.00,14690.00,14615.00
21/10/2020,14610.00,14635.00,14667.50,14615.00
20/10/2020,14650.00,14672.50,14718.00,14655.00
19/10/2020,14670.00,14670.00,14742.50,14670.00
16/10/2020,14670.00,14710.00,14757.50,14687.50
15/10/2020,14660.00,14685.00,14741.00,14680.00
14/10/2020,14680.00,14710.00,14765.00,14705.00
13/10/2020,14680.00,14695.00,14767.50,14695.00
12/10/2020,14680.00,14685.00,14732.50,14685.00
09/10/2020,14675.00,14695.00,14727.50,14665.00
08/10/2020,14685.00,14700.00,14733.00,14697.50
07/10/2020,14690.00,14710.00,14772.50,14702.50
06/10/2020,14710.00,14605.00,14762.50,14605.00
05/10/2020,14790.00,14815.00,14857.50,14799.50
02/10/2020,14830.00,14840.00,14907.00,14840.00
01/10/2020,14820.00,14810.00,14867.50,14810.00
30/09/2020,14840.00,14857.50,14922.00,14857.50
29/09/2020,14845.00,14875.00,14940.50,14867.50
28/09/2020,14850.00,14867.50,14949.50,14867.50
25/09/2020,14845.00,14887.50,14952.50,14862.50
24/09/2020,14845.00,14815.00,14910.00,14815.00
23/09/2020,14780.00,14775.00,14854.00,14755.00
22/09/2020,14750.00,14695.00,14824.50,14695.00
21/09/2020,14690.00,14670.00,14727.50,14664.00
18/09/2020,14730.00,14755.00,14780.00,14713.00
17/09/2020,14820.00,14795.00,14872.00,14795.00
16/09/2020,14825.00,14790.00,14877.50,14790.00
15/09/2020,14835.00,14805.00,14875.00,14802.00
14/09/2020,14860.00,14855.00,14955.00,14855.00
11/09/2020,14860.00,14900.00,14974.00,14877.50
10/09/2020,14820.00,14770.00,14895.00,14765.00
09/09/2020,14780.00,14765.00,14860.00,14765.00
08/09/2020,14760.00,14720.00,14802.50,14720.00
07/09/2020,14730.00,14705.00,14757.50,14705.00
04/09/2020,14740.00,14735.00,14802.50,14705.00
03/09/2020,14760.00,14755.00,14835.00,14755.00
02/09/2020,14740.00,14605.00,14820.00,14605.00
01/09/2020,14565.00,14535.00,14620.00,14535.00
31/08/2020,14560.00,14505.00,14567.50,14505.00
28/08/2020,14615.00,14655.00,14716.50,14614.50
27/08/2020,14650.00,14605.00,14727.50,14605.00
26/08/2020,14670.00,14585.00,14695.00,14585.00
25/08/2020,14640.00,14600.00,14660.00,14575.00
24/08/2020,14670.00,14755.00,14802.50,14670.50
19/08/2020,14770.00,14750.00,14807.50,14735.00
18/08/2020,14830.00,14750.00,14881.00,14750.00
14/08/2020,14720.00,14775.00,14844.00,14775.00
13/08/2020,14700.00,14742.50,14795.00,14725.00
12/08/2020,14685.00,14640.00,14770.00,14640.00
11/08/2020,14620.00,14580.00,14720.00,14580.00
10/08/2020,14590.00,14600.00,14700.00,14600.00
07/08/2020,14580.00,14555.00,14675.00,14555.00
