Date,EIDO,SPY,IDX30,LQ45,IHSG,Volume,tot_buy,dom_total,for_flow
24/04/2012,30.88,137.31,358.94,709.97,4170.35,687080000,4453953.125,-359126.625,6041530
22/10/2020,18.7,344.61,428.15,788.56,5091.82,1780000000,9353848.5,-262450.5,11146785.5
23/10/2020,18.9,345.78,428.3,789.82,5112.19,1570000000,8353186,-45693,12570627.5
26/10/2020,18.84,339.39,430.88,794.21,5144.05,1380000000,7126885.125,127978.125,10899793
27/10/2020,18.79,338.22,428.71,790.5,5128.23,1560000000,8549284,108244,12767308
28/10/2020,18.27,326.66,428.71,790.5,5128.23,1560000000,8549284,108244,12767308
29/10/2020,18.28,329.98,428.71,790.5,5128.23,1560000000,8549284,108244,12767308
30/10/2020,18.28,326.54,428.71,790.5,5128.23,1560000000,8549284,108244,12767308
02/11/2020,18.7,330.2,427.83,788.6,5115.13,2000000000,9565616,-496304.5,11145310
03/11/2020,19.07,336.03,431.04,794.77,5159.45,819660000,7542688,-279765,10414083
04/11/2020,19.39,343.54,423.88,781.13,5105.2,862360000,8017507.5,7800,12038438
05/11/2020,20.32,350.24,443.1,816.16,5260.33,1440000000,9899535.25,711038.875,15202609
06/11/2020,20.44,350.16,453.51,834.9,5335.53,1470000000,10501339.75,827787.5,15895133
09/11/2020,21.19,354.56,456.43,840.51,5356,1290000000,10734010.63,190796.5,17515157
10/11/2020,21.74,354.04,470.05,863.97,5462.74,2430000000,15419803,2247787.75,22289633
11/11/2020,21.62,356.67,480.38,880.02,5509.51,2330000000,16370380,2018117.25,24621697
12/11/2020,21.1,353.21,472.98,866.68,5458.6,1180000000,10306749.25,256257.25,14981293.5
13/11/2020,21.36,358.1,473.18,867.2,5461.06,1080000000,8763839,-237853,12897994
16/11/2020,21.59,362.57,475.49,873.44,5494.87,1220000000,10021734.5,-368776.5,14915365
17/11/2020,21.82,360.62,479.69,881.81,5529.94,1800000000,14378109.5,810668.5,20939166
18/11/2020,21.67,356.28,482.02,885.65,5557.52,1390000000,12257791.25,722409.5,18395329
19/11/2020,21.72,357.78,482.37,887.12,5594.06,1530000000,13150836.75,329440.5,19557531
20/11/2020,21.58,355.33,481.63,884.9,5571.66,1270000000,12270892.25,-321929,18298950
23/11/2020,21.96,357.46,490.95,901.66,5652.76,1290000000,12181957.25,325220.5,18747411
24/11/2020,22.46,363.22,494.28,907.88,5701.03,1790000000,13940978.25,-150056.5,21794387
25/11/2020,22.31,362.66,492.32,903.46,5679.25,2240000000,15616805.5,580579.25,25072535
27/11/2020,22.68,363.67,499.93,920.11,5783.33,1420000000,13737313.5,-1056206.5,22272025
30/11/2020,21.76,362.06,478.79,883.06,5612.42,3990000000,32827721,-3273845,36463899
01/12/2020,22.5,366.02,491,904.83,5724.74,1900000000,16470855,-684055.5,24217520
02/12/2020,22.75,366.79,499.8,922.36,5813.99,1710000000,16402610.5,-155343.25,25457033
03/12/2020,22.72,366.69,498.88,921.18,5822.94,1480000000,19642521.5,264231.5,30397772
04/12/2020,22.74,369.85,496.12,916.25,5810.48,1280000000,13054098.75,-84476.75,19777350
07/12/2020,23.13,369.09,506.71,936.32,5930.76,1480000000,17316318,432810,27663570
08/12/2020,23.04,370.17,505.51,933.28,5944.41,1590000000,19109501.5,-737204,32210488
09/12/2020,23.06,366.85,505.51,933.28,5944.41,1590000000,19109501.5,-737204,32210488
10/12/2020,23.4,366.73,504.66,932.33,5933.7,2520000000,19833067.5,-69436,30258130
11/12/2020,23.14,366.3,503.16,929.94,5938.33,2050000000,19910512,-1307064.5,28977233
14/12/2020,23.1,364.66,509.45,941.18,6012.52,1620000000,18826965.5,-136034.5,30138350
15/12/2020,23.58,369.59,512.75,946.73,6010.13,1720000000,17642874.5,852144.25,27121966
16/12/2020,24.04,370.17,525.46,970.06,6118.4,1990000000,22267635,775347.25,35657238
17/12/2020,24.09,372.24,523.97,968.69,6113.38,1830000000,21888708.5,332626.5,34912748
18/12/2020,23.96,369.18,518.9,962.36,6104.32,1780000000,23220763,-2679966,35025405
21/12/2020,23.87,367.86,520.82,970.99,6165.62,1670000000,20659890,88083,32805516
22/12/2020,22.8,367.24,503.98,938.98,6023.29,1800000000,20820258,-386677.75,35649668
23/12/2020,22.98,367.57,502.05,936.79,6008.71,1500000000,17806312.25,-390656.25,28838867
24/12/2020,23.2,369,502.05,936.79,6008.71,1500000000,17806312.25,-390656.25,28838867
28/12/2020,23.72,372.17,512.99,955.9,6093.55,986480000,16076623,209736.5,24368484
29/12/2020,23.57,371.46,507.76,945.59,6036.17,1040000000,14680646.88,-358462.375,25018211
30/12/2020,23.31,371.99,502.27,934.89,5979.07,1250000000,14501231.75,76066,23129126
31/12/2020,23.42,373.88,502.27,934.89,5979.07,1250000000,14501231.75,76066,23129126
04/01/2021,23.83,368.79,514.4,958.65,6104.9,1030000000,14518093.75,354130.25,24935396
05/01/2021,24.31,371.33,515.27,961.39,6137.34,1060000000,16470715,476335.25,26864087
06/01/2021,24,373.55,507.52,945.68,6065.68,1310000000,19496998,-698479.75,32219455
07/01/2021,23.81,379.1,513.57,957.31,6153.63,1010000000,21720867,896850.25,37599426
08/01/2021,24.52,381.26,526.18,979.31,6257.83,1610000000,22305428.5,1630590.75,37741860
11/01/2021,24.38,378.69,538.7,1001.02,6382.94,2420000000,23675578.5,2741634.75,38730216
12/01/2021,24.62,378.77,535.84,996.44,6395.67,2290000000,25987790.5,995140.5,44295260
13/01/2021,24.66,379.79,539.34,1002.89,6435.21,1710000000,24170108.5,1158706,40936382
14/01/2021,24.91,378.46,539.48,1002.38,6428.31,1910000000,28239427,2965556.75,46928674
15/01/2021,24.49,375.7,530.59,988.75,6373.41,2140000000,23682330.75,49800.75,39548388
19/01/2021,24.15,378.65,532.44,989.05,6321.86,1340000000,17504201,262831.5,28949865
20/01/2021,25.04,383.89,545.48,1014.85,6429.76,1530000000,25109892.5,734862.25,41817814
21/01/2021,24.93,384.24,542.99,1011.21,6413.89,1160000000,19168050.75,-137548,31761692
22/01/2021,24.41,382.88,533.81,991.58,6307.13,1310000000,17336066,69834.25,27115582
25/01/2021,24.02,384.39,531.72,987.95,6258.57,1250000000,17047209.75,154426,27175710
26/01/2021,23.69,383.79,520.23,966.88,6140.1,814200000,17594478,346554,27636837
27/01/2021,23.05,374.41,517.08,963.13,6109.16,1460000000,19581558,-6778.5,30678958
28/01/2021,23.25,377.63,505.27,940.52,5979.38,1490000000,16238493,52497.25,25496681
29/01/2021,22.45,370.07,478.35,896.48,5787.43,1700000000,16651295.75,-921775.75,24043655
01/02/2021,23.57,376.02,504.93,947.3,6067.544922,4560000000,24017458.5,-616293.5,39021896
02/02/2021,23.49,381.55,500.08,938.71,6043.84082,2810000000,17795413.75,-543038.75,27666535
03/02/2021,23.61,381.85,501.05,940.86,6077.745117,2780000000,20571230,4761977,28791021
04/02/2021,23.6,386.19,506.11,949.3,6107.21582,2410000000,15322512.75,609122,24087920
