Date,EIDO,SPY,IDX30,LQ45,IHSG,Volume
03/02/2021,23.610001,381.850006,501.049988,940.856995,6077.745117,2780000000
02/02/2021,23.49,381.549988,500.083008,938.705017,6043.84082,2810000000
01/02/2021,23.57,376.019989,504.933014,947.304016,6067.544922,4560000000
29/01/2021,22.450001,370.07,486.62,911.98,5862.35,1700000000
28/01/2021,23.25,377.63,505.27,940.52,5979.38,1490000000
27/01/2021,23.05,374.41,517.08,963.13,6109.16,1460000000
26/01/2021,23.69,383.79,520.23,966.88,6140.1,814200000
25/01/2021,24.02,384.39,531.72,987.95,6258.57,1250000000
22/01/2021,24.41,382.88,533.81,991.58,6307.13,1310000000
21/01/2021,24.93,384.24,542.99,1011.21,6413.89,1160000000
20/01/2021,25.04,383.89,545.48,1014.85,6429.76,1530000000
19/01/2021,24.15,378.65,532.44,989.05,6321.86,1340000000
15/01/2021,24.49,375.7,530.59,988.75,6373.41,2140000000
14/01/2021,24.91,378.46,539.48,1002.38,6428.31,1910000000
13/01/2021,24.66,379.79,539.34,1002.89,6435.21,1710000000
12/01/2021,24.62,378.77,535.84,996.44,6395.67,2290000000
11/01/2021,24.38,378.69,538.7,1001.02,6382.94,2420000000
08/01/2021,24.52,381.26,526.18,979.31,6257.83,1610000000
07/01/2021,23.81,379.1,513.57,957.31,6153.63,1010000000
06/01/2021,24,373.55,507.52,945.68,6065.68,1310000000
05/01/2021,24.31,371.33,515.27,961.39,6137.34,1060000000
04/01/2021,23.83,368.79,514.4,958.65,6104.9,1030000000
31/12/2020,23.42,373.88,502.27,934.89,5979.07,1250000000
30/12/2020,23.31,371.99,502.27,934.89,5979.07,1250000000
29/12/2020,23.57,371.46,507.76,945.59,6036.17,1040000000
28/12/2020,23.72,372.17,512.99,955.9,6093.55,986480000
24/12/2020,23.2,369,502.05,936.79,6008.71,1500000000
23/12/2020,22.98,367.57,502.05,936.79,6008.71,1500000000
22/12/2020,22.8,367.24,503.98,938.98,6023.29,1800000000
21/12/2020,23.87,367.86,520.82,970.99,6165.62,1670000000
18/12/2020,23.96,369.18,518.9,962.36,6104.32,1780000000
17/12/2020,24.09,372.24,523.97,968.69,6113.38,1830000000
16/12/2020,24.04,370.17,525.46,970.06,6118.4,1990000000
15/12/2020,23.58,369.59,512.75,946.73,6010.13,1720000000
14/12/2020,23.1,364.66,509.45,941.18,6012.52,1620000000
11/12/2020,23.14,366.3,503.16,929.94,5938.33,2050000000
10/12/2020,23.4,366.73,504.66,932.33,5933.7,2520000000
09/12/2020,23.06,366.85,505.51,933.28,5944.41,1590000000
08/12/2020,23.04,370.17,505.51,933.28,5944.41,1590000000
07/12/2020,23.13,369.09,506.71,936.32,5930.76,1480000000
04/12/2020,22.74,369.85,496.12,916.25,5810.48,1280000000
03/12/2020,22.72,366.69,498.88,921.18,5822.94,1480000000
02/12/2020,22.75,366.79,499.8,922.36,5813.99,1710000000
01/12/2020,22.5,366.02,491,904.83,5724.74,1900000000
30/11/2020,21.76,362.06,478.79,883.06,5612.42,3990000000
27/11/2020,22.68,363.67,499.93,920.11,5783.33,1420000000
25/11/2020,22.31,362.66,492.32,903.46,5679.25,2240000000
24/11/2020,22.46,363.22,494.28,907.88,5701.03,1790000000
23/11/2020,21.96,357.46,490.95,901.66,5652.76,1290000000
20/11/2020,21.58,355.33,481.63,884.9,5571.66,1270000000
19/11/2020,21.72,357.78,482.37,887.12,5594.06,1530000000
18/11/2020,21.67,356.28,482.02,885.65,5557.52,1390000000
17/11/2020,21.82,360.62,479.69,881.81,5529.94,1800000000
16/11/2020,21.59,362.57,475.49,873.44,5494.87,1220000000
13/11/2020,21.36,358.1,473.18,867.2,5461.06,1080000000
12/11/2020,21.1,353.21,472.98,866.68,5458.6,1180000000
11/11/2020,21.62,356.67,480.38,880.02,5509.51,2330000000
10/11/2020,21.74,354.04,470.05,863.97,5462.74,2430000000
09/11/2020,21.19,354.56,456.43,840.51,5356,1290000000
06/11/2020,20.44,350.16,453.51,834.9,5335.53,1470000000
05/11/2020,20.32,350.24,443.1,816.16,5260.33,1440000000
04/11/2020,19.39,343.54,423.88,781.13,5105.2,862360000
03/11/2020,19.07,336.03,431.04,794.77,5159.45,819660000
02/11/2020,18.7,330.2,427.83,788.6,5115.13,2000000000
30/10/2020,18.28,326.54,428.71,790.5,5128.23,1560000000
29/10/2020,18.28,329.98,428.71,790.5,5128.23,1560000000
28/10/2020,18.27,326.66,428.71,790.5,5128.23,1560000000
27/10/2020,18.79,338.22,428.71,790.5,5128.23,1560000000
26/10/2020,18.84,339.39,430.88,794.21,5144.05,1380000000
23/10/2020,18.9,345.78,428.3,789.82,5112.19,1570000000
22/10/2020,18.7,344.61,428.15,788.56,5091.82,1780000000
24/04/2012,30.88,137.31,358.94,709.97,4170.35,687080000
