Date,indonia,jibor_weekly
03/03/2021,0,3.5
02/03/2021,2.79332,3.5
01/03/2021,2.79328,3.5
27/02/2021,0,0
26/02/2021,2.80138,3.5
25/02/2021,2.79818,3.5
24/02/2021,2.79607,3.50205
23/02/2021,2.79486,3.5
22/02/2021,2.79665,3.50308
20/02/2021,0,0
19/02/2021,2.80046,3.50154
18/02/2021,3.00269,3.75154
17/02/2021,3.04382,3.75
16/02/2021,3.04176,3.75
15/02/2021,3.04052,3.75
13/02/2021,0,0
12/02/2021,0,0
11/02/2021,3.04161,3.75
10/02/2021,3.04074,3.75
09/02/2021,3.04072,3.75
08/02/2021,3.04016,3.75
06/02/2021,0,0
05/02/2021,3.04177,3.75
04/02/2021,3.04243,3.75
03/02/2021,3.03905,3.75
02/02/2021,3.03886,3.75
01/02/2021,3.03815,3.75
30/01/2021,0,0
29/01/2021,3.03962,3.75
28/01/2021,3.03764,3.75
27/01/2021,3.03856,3.75
26/01/2021,3.03713,3.75
25/01/2021,3.03681,3.75
23/01/2021,0,0
22/01/2021,3.04362,3.75
21/01/2021,3.03802,3.75
20/01/2021,3.0347,3.75
19/01/2021,3.0345,3.75
18/01/2021,3.03783,3.75
16/01/2021,0,0
15/01/2021,3.04078,3.75
14/01/2021,3.04429,3.75
13/01/2021,3.03493,3.75154
12/01/2021,3.03712,3.75
11/01/2021,3.03772,3.75
09/01/2021,0,0
08/01/2021,3.03843,3.75231
07/01/2021,3.03653,3.75
06/01/2021,3.036,3.75
05/01/2021,3.03526,3.75231
04/01/2021,3.04067,3.75
02/01/2021,0,0
01/01/2021,0,0
31/12/2020,0,0
30/12/2020,3.04537,3.76769
29/12/2020,3.03876,3.75462
28/12/2020,3.03446,3.75462
26/12/2020,0,0
25/12/2020,0,0
24/12/2020,0,0
23/12/2020,3.04557,3.75154
22/12/2020,3.03589,3.75154
21/12/2020,3.03851,3.75
19/12/2020,0,0
18/12/2020,3.03547,3.75
17/12/2020,3.0363,3.75115
16/12/2020,3.03552,3.75
15/12/2020,3.03486,3.75
14/12/2020,3.04,3.75
12/12/2020,0,0
11/12/2020,3.03941,3.75
10/12/2020,3.03946,3.75
09/12/2020,0,0
08/12/2020,3.03889,3.75
07/12/2020,3.03787,3.75
05/12/2020,0,0
04/12/2020,3.0466,3.75
03/12/2020,3.03642,3.75
02/12/2020,3.03455,3.75
01/12/2020,3.03674,3.75231
30/11/2020,3.0399,3.75
28/11/2020,0,0
27/11/2020,3.04298,3.75
26/11/2020,3.03699,3.75
25/11/2020,3.03712,3.75
24/11/2020,3.03723,3.75
23/11/2020,3.0335,3.75
21/11/2020,0,0
20/11/2020,3.03995,3.75385
19/11/2020,3.25156,4
18/11/2020,3.28774,4
17/11/2020,3.28733,4
16/11/2020,3.28914,4
14/11/2020,0,0
13/11/2020,3.28691,4
12/11/2020,3.28354,4
11/11/2020,3.28603,4
10/11/2020,3.28864,4
09/11/2020,3.28729,4
07/11/2020,0,0
06/11/2020,3.29109,4
05/11/2020,3.29287,4
04/11/2020,3.28691,4
03/11/2020,3.28537,4
02/11/2020,3.28677,4
31/10/2020,0,0
30/10/2020,0,0
29/10/2020,0,0
28/10/2020,0,0
27/10/2020,3.31818,4
26/10/2020,3.28703,3.99769
24/10/2020,0,0
23/10/2020,3.28596,4
22/10/2020,3.28837,4
21/10/2020,3.28756,4
20/10/2020,3.28622,4
19/10/2020,3.28834,4
17/10/2020,0,0
16/10/2020,3.28927,4
15/10/2020,3.28765,4
14/10/2020,3.29052,4
13/10/2020,3.28681,4
12/10/2020,3.28324,4
10/10/2020,0,0
09/10/2020,3.28436,4
08/10/2020,3.28595,4
07/10/2020,3.28559,4
06/10/2020,3.28297,4
05/10/2020,3.28568,4
03/10/2020,0,0
02/10/2020,3.29184,4
01/10/2020,3.28322,4
30/09/2020,3.2901,4
29/09/2020,3.29167,4
28/09/2020,3.29502,4
26/09/2020,0,0
25/09/2020,3.28716,3.99923
24/09/2020,3.29037,4
23/09/2020,3.2963,4
22/09/2020,3.28612,4
21/09/2020,3.29532,4
19/09/2020,0,0
18/09/2020,3.29076,4
17/09/2020,3.29087,4
16/09/2020,3.29082,4
15/09/2020,3.29114,4
14/09/2020,3.29304,4
12/09/2020,0,0
11/09/2020,3.30137,4
10/09/2020,3.28756,4
09/09/2020,3.28527,4
08/09/2020,3.29231,4
07/09/2020,3.28665,4
05/09/2020,0,0
04/09/2020,3.29728,4
03/09/2020,3.28312,4
02/09/2020,3.29954,4
01/09/2020,3.29765,3.99949
31/08/2020,3.30797,4
29/08/2020,0,0
28/08/2020,3.2939,3.99615
27/08/2020,3.28521,3.99846
26/08/2020,3.32578,3.99462
25/08/2020,3.29287,3.99462
24/08/2020,3.32176,3.99423
22/08/2020,0,0
21/08/2020,0,0
20/08/2020,0,0
19/08/2020,3.32,3.98885
18/08/2020,3.31037,3.995
17/08/2020,0,0
15/08/2020,0,0
14/08/2020,3.29016,3.99519
13/08/2020,3.29188,3.99154
12/08/2020,3.31307,3.98641
11/08/2020,3.30256,3.99846
10/08/2020,3.32615,4.00231
08/08/2020,0,0
07/08/2020,3.31929,4.00077
06/08/2020,3.31266,3.99949
05/08/2020,3.32291,4.00308
04/08/2020,3.32389,4.00154
03/08/2020,3.35998,4.00769
01/08/2020,0,0
31/07/2020,0,0
30/07/2020,3.37339,4.01237
29/07/2020,3.37966,4.01827
28/07/2020,3.34837,4.02692
27/07/2020,3.35213,4.03744
25/07/2020,0,0
24/07/2020,3.36451,4.05
23/07/2020,3.36741,4.06308
22/07/2020,3.3833,4.07872
21/07/2020,3.36597,4.1
20/07/2020,3.37519,4.1
18/07/2020,0,0
17/07/2020,3.39745,4.1
16/07/2020,3.5732,4.34462
15/07/2020,3.75618,4.34692
14/07/2020,3.74884,4.34795
13/07/2020,3.76862,4.34923
11/07/2020,0,0
10/07/2020,3.87465,4.35
09/07/2020,3.88019,4.34923
08/07/2020,3.8622,4.35
07/07/2020,3.92434,4.35
06/07/2020,3.95539,4.35
04/07/2020,0,0
03/07/2020,3.99534,4.35
02/07/2020,4.02959,4.35
01/07/2020,4.04699,4.35
30/06/2020,4.0789,4.35154
29/06/2020,4.06786,4.35154
27/06/2020,0,0
26/06/2020,4.0305,4.35154
25/06/2020,4.05508,4.35154
24/06/2020,4.06078,4.35154
23/06/2020,4.04925,4.35154
22/06/2020,4.05793,4.35154
20/06/2020,0,0
19/06/2020,4.06051,4.34282
18/06/2020,4.25614,4.6
17/06/2020,4.27178,4.6
16/06/2020,4.29686,4.6
15/06/2020,4.33247,4.6
13/06/2020,0,0
12/06/2020,4.32172,4.6
11/06/2020,4.31547,4.6
10/06/2020,4.29856,4.6
09/06/2020,4.31114,4.6
08/06/2020,4.32528,4.6
06/06/2020,0,0
05/06/2020,4.3353,4.6
04/06/2020,4.34656,4.6
03/06/2020,4.31964,4.6
02/06/2020,4.33511,4.60205
01/06/2020,0,0
30/05/2020,0,0
29/05/2020,4.32059,4.6
28/05/2020,4.31514,4.6
27/05/2020,4.30341,4.6
26/05/2020,4.30202,4.6
25/05/2020,0,0
23/05/2020,0,0
22/05/2020,0,0
21/05/2020,0,0
20/05/2020,4.51572,4.6
19/05/2020,4.30453,4.6
18/05/2020,4.33754,4.60846
16/05/2020,0,0
15/05/2020,4.31732,4.60846
14/05/2020,4.31671,4.6
13/05/2020,4.32473,4.6
12/05/2020,4.31162,4.60077
11/05/2020,4.32816,4.6
09/05/2020,0,0
08/05/2020,4.31494,4.6
07/05/2020,0,0
06/05/2020,4.33416,4.6
05/05/2020,4.32618,4.6
04/05/2020,4.31338,4.6
02/05/2020,0,0
01/05/2020,0,0
30/04/2020,4.32338,4.6
29/04/2020,4.31352,4.6
28/04/2020,4.31216,4.6
27/04/2020,4.31056,4.6
24/04/2020,4.3017,4.60192
23/04/2020,4.30952,4.6
22/04/2020,4.30165,4.6
21/04/2020,4.30951,4.6
20/04/2020,4.30705,4.6
17/04/2020,4.30493,4.6
16/04/2020,4.32005,4.59969
15/04/2020,4.30093,4.59846
14/04/2020,4.31213,4.59769
13/04/2020,4.31048,4.59558
11/04/2020,0,0
