ticker,current_mkt_cap,mkt_cap_category,sector_name
BBCA,"770,469,062,500,000",Big,Financials
BBRI,"538,929,419,700,000",Big,Financials
TLKM,"331,858,425,610,000",Big,Communication Services
BMRI,"291,666,666,656,250",Big,Financials
UNVR,"240,345,000,000,000",Big,Consumer Staples
ASII,"211,526,565,156,500",Big,Consumer Discretionary
TPIA,"191,264,504,788,500",Big,Materials
HMSP,"155,866,223,046,000",Big,Consumer Staples
EMTK,"155,441,696,946,820",Big,Communication Services
ARTO,"152,765,156,250,000",Big,Financials
CPIN,"122,985,000,000,000",Big,Consumer Staples
BBNI,"110,959,505,925,100",Big,Financials
ICBP,"102,041,695,000,000",Big,Consumer Staples
BRIS,"94,782,092,658,330",Big,Financials
BRPT,"90,587,166,895,470",Big,Materials
SMMA,"87,237,006,622,900",Big,Financials
UNTR,"81,596,706,100,000",Big,Energy
KLBF,"70,078,307,554,450",Big,Health Care
GGRM,"69,796,292,200,000",Big,Consumer Staples
SMGR,"63,318,976,000,000",Big,Materials
MEGA,"61,455,323,085,275",Big,Financials
INDF,"58,828,857,550,000",Big,Consumer Staples
TBIG,"58,001,918,579,200",Big,Communication Services
MYOR,"57,909,032,287,750",Big,Consumer Staples
TOWR,"57,391,453,125,000",Big,Communication Services
ANTM,"55,751,374,162,000",Big,Materials
MDKA,"54,513,544,939,700",Big,Materials
INKP,"53,752,407,395,325",Big,Materials
BANK,"48,979,281,877,500",Upper Mid,Financials
INTP,"46,475,550,199,875",Upper Mid,Materials
DNET,"45,672,480,000,000",Upper Mid,Communication Services
INCO,"42,924,983,270,400",Upper Mid,Materials
BYAN,"41,666,668,750,000",Upper Mid,Energy
AMRT,"40,071,144,140,500",Upper Mid,Consumer Staples
ADRO,"37,743,435,160,000",Upper Mid,Energy
MIKA,"36,898,045,205,000",Upper Mid,Health Care
TCPI,"36,500,000,000,000",Upper Mid,Industrials
ISAT,"35,184,719,412,500",Upper Mid,Communication Services
TKIM,"31,910,541,592,500",Upper Mid,Materials
BNII,"31,208,634,245,920",Upper Mid,Financials
JSMR,"30,120,165,480,000",Upper Mid,Industrials
PGAS,"28,726,187,212,260",Upper Mid,Utilities
FREN,"27,808,154,022,240",Upper Mid,Communication Services
PTBA,"27,534,375,607,500",Upper Mid,Energy
MAYA,"27,214,448,355,000",Upper Mid,Financials
DCII,"27,174,703,260,000",Upper Mid,Information Technology
BNGA,"27,016,477,356,225",Upper Mid,Financials
BDMN,"26,095,386,162,900",Upper Mid,Financials
JPFA,"25,915,731,194,210",Upper Mid,Consumer Staples
MKPI,"25,624,942,850,000",Upper Mid,Real Estate
ACES,"25,467,750,000,000",Upper Mid,Consumer Discretionary
SCMA,"24,533,291,559,660",Lower Mid,Communication Services
PWON,"24,320,599,212,000",Lower Mid,Real Estate
BSDE,"24,029,500,196,620",Lower Mid,Real Estate
POLL,"23,875,023,732,000",Lower Mid,Real Estate
PNBN,"23,846,769,540,000",Lower Mid,Financials
BTPS,"23,419,248,000,000",Lower Mid,Financials
SIDO,"23,400,000,000,000",Lower Mid,Consumer Staples
BTPN,"22,980,030,170,580",Lower Mid,Financials
EXCL,"21,985,583,290,800",Lower Mid,Communication Services
CASA,"21,899,453,944,386",Lower Mid,Financials
CTRA,"21,622,753,457,505",Lower Mid,Real Estate
AGRO,"21,343,290,230,000",Lower Mid,Financials
NISP,"19,634,261,391,720",Lower Mid,Financials
AALI,"19,198,766,121,675",Lower Mid,Consumer Staples
MLBI,"19,121,025,000,000",Lower Mid,Consumer Staples
ULTJ,"17,330,292,000,000",Lower Mid,Consumer Staples
BBTN,"17,049,900,000,000",Lower Mid,Financials
BBKP,"16,009,893,085,060",Lower Mid,Financials
SRTG,"15,938,681,125,000",Lower Mid,Financials
SLIS,"15,150,000,000,000",Lower Mid,Information Technology
BJBR,"14,758,180,741,500",Lower Mid,Financials
MEDC,"14,579,014,126,160",Lower Mid,Energy
MNCN,"14,146,800,447,400",Lower Mid,Communication Services
